"Name","Description","Sources / Links","Parent Company","Country"
"& Other Stories","Men’s Clothing and Accessories.  Women’s Clothing and Accessories.  Clothing Stores. H&M continues to open stores in Israel without using its international platform to push for Palestinian justice.","https://masjidalaqsa.com/boycott/hm-israel-bds","H&M Group",""
".406 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"01A","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"10D","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"10X Capital","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"186 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"1948 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"2 Twelve","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"20VC","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"24S","Luxury Online. This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.","https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/","LVMH",""
"25madison","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"355 CAPITAL","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"360 Venture Collective","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"3CE","Skincare. L'Oreal has heavy investment in and operates a factory in Occupied Palestine.","https://masjidalaqsa.com/boycott/loreal-israel-bds","L'Oreal",""
"3SE Holdings","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"4 Star Chocolate","Chocolate. Mondelez International has been involved in several initiatives related to Israel, particularly in the food technology sector, investing in Israeli snacks startups, including Torr and The Kitchen.","https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment","Mondelez International",""
"408 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"5 Second Nail","Cosmetics-Nails. American International is owned by Zvi Ryzman, an Israeli American dual citizen who grew up in Tel Aviv and served in the IOF.","https://wwd.com/feature/ardell-breaks-into-color-cosmetics-10894029/","American International Industries",""
"6 Days Cake Bar","Cookies. Mondelez International has been involved in several initiatives related to Israel, particularly in the food technology sector, investing in Israeli snacks startups, including Torr and The Kitchen.","https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment","Mondelez International",""
"7 For All Mankind","Men’s Clothing and Accessories.  Women’s Clothing and Accessories. Delta Galil is an Israeli textile company with manufacturing and operations in illegal West Bank settlements","http://www.inminds.com/boycott-delta-galil.html , https://www.whoprofits.org/companies/company/3655?delta-galil-industries","Delta Galil Industries",""
"7 Up","Soda. JAB Holding Company has a controlling interest in Keurig Dr Pepper. JAB funds the Landecker Foundation, which is a German organization fighting anti-semitism by supporting Hillel, a Zionist campus group, and cooperating with Hebrew University, without advocating for justice for Palestinians.","https://www.alfredlandecker.org/en/projects/cooperation-with-the-hebrew-university-of-jerusalem","Keurig Dr Pepper",""
"75 and Sunny Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"7UP","is in partnership with Tempo Beverages. See listing under Tempo.","https://www.pepsico.com/our-brands/creating-smiles/our-products","",""
"7wireVentures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"81 Collection","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"8VC","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"8X4 Deodorant","Deodorant-Men.  Deodorant-Women. 8x4 is owned by Bieiersdorf, which has a 60% interest in it's Israeli subsidiary Alpa-BDF Ltd., located in Herzeliya.","https://reports.beiersdorf.com/annual-report/2022/additional-information/beiersdorf-ag-s-shareholdings.html","Beiersdorf",""
"91 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"97212 Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"9Yards Capital","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"A Colheita Ministry","The IFCJ, a registered Canadian charity, provides funds to Israeli organizations involved in activities that appear to contravene international law and Canadian policy. It has sent approximately $23M in the last 5 years to KEREN L'YEDIDUT (Israel) , an organization that provides significant support to IDF soldiers and is focused on second coming/Armageddon theology that considers Jewish people as the chosen people.","https://bdscoalition.ca/","",""
"A Rocha Canada","Affiliate of Canadian Council of Churches. After 18 months of genocide the Canadian Council of Churches has yet to come out in support of Palestinian Christians. Shamefully, neither the Council nor any of its members, associates or affiliates have signed  the ""cry for hope"" call from Christinians in Palestine in 2020. The Council has failed to condemn the ongoing genocide, to call out Israel's apartheid practices or even reference the illegal occupation. The statement of May 10th, 2024 is not enough.","https://rabble.ca/human-rights/canadian-churches-must-speak-out-against-israels-apartheid-crimes/ , https://bdscoalition.ca/2023/12/13/support-the-call-from-palestinian-christian-churches/","Canadian Council of Churches",""
"A&W","Soda. JAB Holding Company has a controlling interest in Keurig Dr Pepper. JAB funds the Landecker Foundation, which is a German organization fighting anti-semitism by supporting Hillel, a Zionist campus group, and cooperating with Hebrew University, without advocating for justice for Palestinians.","https://www.alfredlandecker.org/en/projects/cooperation-with-the-hebrew-university-of-jerusalem","Keurig Dr Pepper",""
"A* Capital","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://acapital.com , https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","","usa"
"A. Barkan and Co.","Israeli Construction on Occupied Land--A private Israeli construction company. Currently, the company is involved in the construction project Barkan in Ariel... See link for more.","https://www.whoprofits.org/companies/company/5025?a-barkan-and-co","",""
"A. Hezi Building and Investment Co.","Israeli Construction on Occupied Land--A private Israeli construction company.  A. Hezi Building and Investment is building 36 housing units in Gilo Hillside in the... See link for more.","https://www.whoprofits.org/companies/company/3739?a-hezi-building-and-investment-co","",""
"A.A. Silber Foundation","Sponsor of CJPAC","https://cjpac.ca/cjpac-sponsors/","",""
"A.B. Plan","Israeli Construction on Occupied Land--The company provides economic planning services to transportation projects. In 2008, the company submitted a report about the ... See link for more.","https://www.whoprofits.org/companies/company/4161?a-b-plan","",""
"A.P. Moller  Maersk A/S","Danish shipping company – transport components, parts, weapons and raw materials, sustaining a steady flow of United States-supplied military equipment post-October 2023","https://www.un.org/unispal/document/a-hrc-59-23-from-economy-of-occupation-to-economy-of-genocide-report-special-rapporteur-francesca-albanese-palestine-2025/ ,https://truthout.org/articles/pro-palestine-activists-target-invisible-genocide-profiteer-in-arms-supply-chain/ , https://theintercept.com/2024/11/04/maersk-israel-gaza-spain-embargo-military-shipping/","",""
"A1 Cash + Carry","Israeli produce for sale has been reported to bdscoalition.ca -Golden Valley from NBF who also import Israeli from Hadilkaim","https://bdscoalition.ca/2024/03/10/do-not-buy-israeli-produce/","",""
"A100x","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://a100x.com , https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","","usa"
"AB Industrivarden","financial relationships between business enterprises involved in the illegal Israeli settlement enterprise in the Occupied Palestinian Territory (OPT) and European Financial Institutions (FIs).","https://dontbuyintooccupation.org/reports/dont-buy-into-occupation-report-2023/","",""
"Abadi Bakery","Settlement Production--Manufactures bagel cookies and crackers. The company offices and factory are located in Atarot Industrial Zone, which is an Israel... See link for more.","https://www.whoprofits.org/companies/company/3842?abadi-bakery","",""
"ABB Group","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements--ABB Group is a publicly traded Swedish-Swiss multinational corporation manufacturing electrification products, robotics and motion... See link for more.","https://www.whoprofits.org/companies/company/3731?abb-group","",""
"Abbey Well Water","Water. Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.","https://www.foa.org.uk/campaign/boycottcocacola","Coca-Cola",""
"Abbott Point Of Care Canada Limited","Supporting Israeli economy -Imports from Israel","https://tradingeconomics.com/canada/imports/israel , https://ised-isde.canada.ca/app/ixb/cid-bdic/importingCountryResults.html#wb-auto-5","",""
"Ability Inc","An Israeli security firm that specializes in military intelligence and cyber security. Operates out of an illegal settlement in the occupied West Bank.","https://investigate.afsc.org/company/ability","",""
"Above All Christian Gathering","Donates to the International Fellowship of Christians and Jews (IFCJ). The IFCJ, a registered Canadian charity, provides funds to Israeli organizations involved in activities that appear to contravene international law and Canadian policy. It has sent approximately $23M in the last 5 years to KEREN L'YEDIDUT (Israel) , an organization that provides significant support to IDF soldiers and is focused on second coming/Armageddon theology that considers Jewish people as the chosen people.","https://bdscoalition.ca/","",""
"Abrdn","financial relationships between business enterprises involved in the illegal Israeli settlement enterprise in the Occupied Palestinian Territory (OPT) and European Financial Institutions (FIs).","https://dontbuyintooccupation.org/reports/dont-buy-into-occupation-report-2023/","",""
"Abstract Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://abstractvc.com , https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","","usa"
"Abu Siouf Rice","Rice-Bulk. Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel","https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners","Mars",""
"Abuelita Hot Chocolate","Hot Chocolate-Packaged. Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Nestle",""
