Booth,Company Name,Found in Who Profits,Matches
20,Arm Guard,True,Agrexco Carmel Agricultural Export Companyאגרקסקו כרמל חברה ליצוא חקלאי
21,Beghou,False,None
22,BoonAl,False,None
23,Nooks,False,None
24,L'Oréal,False,None
25,Clockwork Systems,False,None
26,Sonatus,False,None
27,JQ Investments,False,None
28,C3.ai,False,None
30,Qvest US,False,None
31,Akuna Capital,False,None
32,Credit One Bank,False,None
33,Upstart,False,None
34,Redwood Materials,False,None
35,MCM,False,None
36,CoinTracker,False,None
37,Two Dots,False,None
38,Canaan U.S. Inc,False,None
40,Lawrence Livermore,False,None
41,Kiso Technology,False,None
42,Southern California Edison,False,None
43,Hone Health,True,Pelephone Communicationsפלאפון תקשורת בע"מ
44,Amgen,False,None
45,CoStar Group,False,None
46,Calpine Corporation,False,None
47,Electronic Power Research Institute,True,El-Far Electronics Systemsאל-פר מערכות אלקטרוניקה
48,Glencore Ltd.,False,None
50,Sandia National Laboratories,False,None
51,Pacific Gas and Electric Company,False,None
52,QuantumScape,False,None
53,Johnson & Johnson,False,None
54,Arete,False,None
55,Blackhawk Network,False,None
56,Rubrik,False,None
57,Avangrid,False,None
58,Aurora Energy Research,False,None
60,ASM Guard,False,None
61,Group One Trading LLC,True,ABB Group; All Trade Groupאול - אין טרייד ישראל בע"מ; Amos Hadar Properties and Investments (Hadar Group)עמוס הדר נכסים והשקעות (קבוצת הדר); Ashtrom Groupקבוצת אשטרום בע"מ
62,Affiliated Engineers, Inc.,False,None
63,Boldt,False,None
64,Bio-Rad Laboratories,False,None
65,Inductive Automation,False,None
66,Aperture LLC,False,None
67,Southland Industries,False,None
68,MEA Forensic Engineers & Scientists,False,None
70,Peace Corps,False,None
71,PAE Engineers,False,None
72,Block,False,None
73,GALLO,False,None
74,Xenon Health,False,None
75,Metronome,False,None
76,EKI Environment & Water, Inc.,False,None
77,Rambus,False,None
78,Molex,False,None
80,TSMC,False,None
81,US Navy,True,Ackerstein Industriesאקרשטיין תעשיות
82,Epirus,False,None
83,Army National Guard,False,None
84,DiCon Fiberoptics, Inc.,False,None
85,Kairos Power,False,None
86,Martinez Refining Company,False,None
87,Anning-Johnson Company,False,None
88,Bloom Energy,False,None
90,Aurora Energy Research,False,None
91,KLA,True,Hadiklaim - Israel Date Growers Cooperativeהדקלאים אגודה שיתופית חקלאית מרכזית בע"מ
92,Huaqin Technology,False,None
93,Epic,False,None
94,Keck Graduate Institute,False,None
95,Calico,False,None
96,BioMarin,False,None
97,ORISE FBI Visiting Scientist Program,False,None
98,National Security Agency,True,Altice International
100,Workday, Inc,False,None
101,Eli Lilly and Company,False,None
102,Hewlett Packard Enterprise (HPE),True,Hewlett Packard Enterprise (HPE)
103,Fieldguide,False,None
104,Matroid, Inc,False,None
105,Sourcegraph,False,None
106,AVEVA,False,None
107,SICK,False,None
108,Seven Research,False,None
109,Aven,False,None
200,KOTRA Silicon Valley,False,None
201,ACCO Engineered Systems,False,None
202,Micron Technology,False,None
203,Pantex,False,None
204,Elve, Inc,False,None
205,Lifespan Research Institute,False,None
206,LightSource,False,None
207,Trinity Life Sciences,False,None
208,Science Corporation,False,None
209,California State Water Resources Control Board,False,None
210,Central Intelligence Agency,False,None
300,Altruist,False,None
301,Lightmatter,False,None
400,Cisco Systems Guard,True,Cisco Systems
401,Applied Materials,False,None
402,Procter & Gamble,False,None
