Company Short Name,Company Standard Name,Country of HQ,Primary Symbol,Primary Exchange Short,Primary Exchange Name,Industry,Primary ISIN,Summary,Divestment Shortlist,Prisons,Occupations,Borders,Link
3M,3M Co,USA,MMM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Diversified Industrials,US88579Y1010,"A US-based multinational conglomerate that supplies raw materials to prison labor programs. 3M used to provide prison health care services, operate electronic monitoring systems, and manufacture components for weapons systems.",,1,,,https://investigate.info/company/3m
A. P. Moller Maersk,A. P. Moller Maersk A/S,Denmark,MAERSK B,STO,OMX NORDIC EXCHANGE COPENHAGEN A/S,Marine Shipping,DK0010244425,"One of the world's largest shipping companies, Maersk is one of the main shippers of weapons and military equipment to Israel. It also ships for export products made in Israel's illegal settlements in the occupied West Bank.
",,,1,,https://investigate.info/company/maersk
ABB,ABB Ltd,Switzerland,ABBN,SWX,SWISS EXCHANGE,Diversified Industrials,CH0012221716,"A Swedish-Swiss multinational corporation that manufactures robotics, electrification equipment, and automation technology. Its equipment has been used at solar energy fields in the occupied West Bank.",,,1,,https://investigate.info/company/abb
Acadia Healthcare Co,Acadia Healthcare Co Inc,USA,ACHC,NASDAQ,NASDAQ,Medical Care,US00404A1097,A US-based provider of behavioral healthcare services. It provides health services to people in prison and previously operated “shelters” for detaining unaccompanied immigrant children.,,1,,,https://investigate.info/acadia-healthcare
Accenture,Accenture PLC,Ireland,ACN,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Information Technology Services,IE00B4BNMY34,An Irish multinational professional services firm that provides technical and planning support to CBP and ICE.,,,,1,https://investigate.info/company/accenture
Adama,Adama Ltd,China,553,SHENZHEN,SHENZHEN STOCK EXCHANGE,Agricultural Inputs,CNE000000Q52,A Chinese-owned Israeli chemical pesticide manufacturer that supports agriculture in illegal Israeli settlements in the occupied West Bank and Golan Heights. Its products have also been used by the Israeli military to maintain the blockade on the Gaza Strip.,,,1,,https://investigate.info/company/adama
AeroVironment,AeroVironment Inc,USA,AVAV,NASDAQ,NASDAQ,Aerospace & Defense,US0080731088,A US-based military contractor whose drones are used to surveil the US–Mexico border.,,,,1,https://investigate.info/company/aerovironment
Afcon Holdings,Afcon Holdings Ltd,Israel,AFHL,TASE,TEL AVIV STOCK EXCHANGE,Electronic Components,IL0005780130,"An Israeli company specializing in control and automation technologies for electromechanical systems and infrascuctures. Supplied metal detectors to military checkpoints in the West Bank and Involved in the Jerusalem light rail project, which connects Jerusalem with the illegal settlements around it.",,,1,,https://investigate.info/company/afcon-holdings
Air Transport Services Gr,Air Transport Services Group Inc,USA,ATSG,NASDAQ,NASDAQ,Integrated Freight & Logistics,US00922R1059,A US air cargo transportation and aircraft leasing company that operates deportation flights for the US government.,1,1,,1,https://investigate.info/company/atsg
Airbnb,Airbnb Inc,USA,ABNB,NASDAQ,NASDAQ,Internet Content & Information,US0090661010,A US company that lists rental properties in illegal Israeli settlements in the occupied Palestinian and Syrian territories.,,,1,,https://investigate.info/company/airbnb
Airbus,Airbus SE,Netherlands,AIR,PAR,NYSE EURONEXT - EURONEXT PARIS,Aerospace & Defense,NL0000235190,A Dutch multinational military and aerospace company whose helicopters are used to monitor the US–Mexico border.,1,,,1,https://investigate.info/company/airbus
Allison Transmission,Allison Transmission Holdings Inc,USA,ALSN,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Auto Parts,US01973R1014,A US manufacturer of transmissions for multiple Israeli military armored vehicles.,1,,1,,https://investigate.info/company/allison-transmission
