Name,Type,Sources,Categories,Country_HQ,Industry,Stock_Symbol,Prisons,Occupations,Borders,Divestment_Shortlist,Involvement_Types
3M Co,company,investigate_afsc,prisons,USA,Diversified Industrials,MMM,Yes,,,,
7up,brand,boycott.thewitness,consumer_boycott,,,,,,,,
A. P. Moller Maersk A/S,company,investigate_afsc,occupations,Denmark,Marine Shipping,MAERSK B,,Yes,,,
ABB Group,company,who_profits|investigate_afsc,occupation_involvement|occupations,Switzerland,Diversified Industrials,ABBN,,Yes,,,Settlement Enterprise|Israeli Construction on Occupied Land|Services to the Settlements|Economic Exploitation|Exploitation of Occupied Production and Resources
Acadia Healthcare Co Inc,company,investigate_afsc,prisons,USA,Medical Care,ACHC,Yes,,,,
Accenture PLC,company,investigate_afsc,borders,Ireland,Information Technology Services,ACN,,,Yes,,
Ackerstein Industries,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Israeli Construction on Occupied Land|Private Security and Surveillance Technology|The Wall and Checkpoints|Specialized Equipment and Services|Population Control
Acqua Panna,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Actimel,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Activia,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Adama Ltd,company,investigate_afsc,occupations,China,Agricultural Inputs,553,,Yes,,,
Adidas,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aerin,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aero,brand,boycott.thewitness,consumer_boycott,,,,,,,,
AeroVironment Inc,company,investigate_afsc,borders,USA,Aerospace & Defense,AVAV,,,Yes,,
Aesop,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Afcon Holdings Ltd,company,investigate_afsc,occupations,Israel,Electronic Components,AFHL,,Yes,,,
Agoda,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Agrexco Carmel Agricultural Export Company,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Settlement Production|Economic Exploitation|Palestinian Captive Market
Ahava,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Air Transport Services Group Inc,company,investigate_afsc,prisons|borders|divestment_shortlist,USA,Integrated Freight & Logistics,ATSG,Yes,,Yes,Yes,
Airbnb,brand,boycott.thewitness|investigate_afsc,consumer_boycott|occupations,USA,Internet Content & Information,ABNB,,Yes,,,
Airbus SE,company,investigate_afsc,borders|divestment_shortlist,Netherlands,Aerospace & Defense,AIR,,,Yes,Yes,
Airwaves,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aldi Nord (not UK),brand,boycott.thewitness,consumer_boycott,,,,,,,,
All Trade Group,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Specialized Equipment and Services|Settlement Production|Population Control
