Name,Amount
ACM ALAMOSA I A,225060913
OWL ROCK TECH FINANCE,214052865
HAZELTON FUND LIMITED,177775179
HOMEWARD OPPORTUNITIES FUND,86190151
BROOKFIELD,78040000
H.I.G. BAYSIDE V,71505528
OWL ROCK CAPITAL CORP,64038728
OWL ROCK TECH FINANCE II,50273777
HOMEWARD OPPORTUNITIES FUND I,39496840
BLUE OWL,37320754
FRALOCK TWIN BROOK,25222670
RED KITE FUND I,12528548
AMERRA CAPITAL,8521701
LAFAYETTE SQUARE,6930000
OWL ROCK TECH HOLDINGS II,6768002
HOF MANAGEMENT CO,732041
BAIN CAPITAL CREDIT MANAGED ACCOUNT,489750
