Name,Amount
GOLDMAN SACHS RENEWABLE ENERGY,421581056
APOLLO MANAGEMENT CO‐INVESTMENT,311675430
STONEPEAK INFRA FD III LP,268540723
EQT INFRA IV NO.2 USD SCSP,214645817
DIGITAL COLONY PARTNERS,214363480
JOHN HANCOCK‐MANULIFE CO‐INVESTMENT,207378524
APOLLO DEDICATED INVEST POOL,170962807
EQT INFRASTRUCTURE V (NO.2) USD SCSP,164446891
APOLLO FINANCIAL CREDIT INVESTMENT III,144675942
MANULIFE INFRASTRUCTURE FUND II,130806095
DIGITAL COLONY FUND II,128241180
RIVERSTONE HOLDINGS CO‐INVESTMENT,148597195
ORION MINE FINANCE FUND II,122597656
JOHN HANCOCK INFRASTRUCTURE FUND,118931622
BLACKSTONE ISG INVESTMENT PARTNERS,111727774
CIM INFRASTRUCTURE II,108838203
DIGITAL COLONY CO‐INVESTMENT,93440402
UPPER BAY INFRASTRUCTURE PARTNERS CO‐INVESTMENT,128059689
TRINITAS ADVANTAGED AGRICULTURE IV,82125686
ORION RESOURCES FUND III,83252412
CONGRUENT VENTURES,54237652
MOLPUS ‐ SEVEN STATES TIMBERLAND,59940048
STONEPEAK INFRASTRUCTURE PARTNERS,57525102
EMG II,53736310
STONEPEAK INFRASTRUCTURE PARTNERS,53049851
ORION RESOURCE PARTNERS CO‐INVESTMENT,52529011
PARTNERS GROUP CO‐INVESTMENT,41920022
"ENCAP FLATROCK MIDSTREAM FUND IV, L.P.",37448740
RENEWABLE RESOURCES GROUP CO‐INVESTMENT,33543192
ENCAP FLATROCK MIDSTREAM FUND III,28942401
APOLLO INFRA EQUITY,32248169
ENERGY & MINERALS GROUP CO‐INVESTMENT,23168364
EQT INFRASTRUCTURE III,31791419
ORION RESOURCE PARTNERS III ‐ CO‐INVEST FUND,23040262
PONTIFAX AGTECH,14817271
ORION RESOURCES FUND I ‐ A,16497372
UPPER BAY INFRASTRUCTURE FUND I,11681141
CD CAPITAL FUND II,13117199
PINE BROOK PARTNERS CO‐INVESTMENT,12010149
"CONGRUENT VENTURES II, LP",10155156
ORION MINERAL ROYALTIES FUND,10610491
PONTIFAX AGTECH II,7962395
ORION RESOURCES FUND I,7466025
ORBIMED ROYALTIES FUND I,6875028
EQT INFRASTRUCTURE II,4534810
ENCAP FLATROCK MIDSTREAM CO‐INVESTMENT,3273574
ENCAP FLATROCK MIDSTREAM FUND II,2694721
PINE BROOK PARTNERS CO‐INVESTMENT,1968988
LIME ROCK PARTNERS CO‐INVESTMENT,942808
FOUNDATION ENERGY FUND IV,792201
