name,current_percent_of_portfolio
Microsoft Corp.,0.055882100000000004
Apple Inc,0.0541489
Amazon.com Inc.,0.0303872
NVIDIA Corp.,0.0250162
Alphabet Inc. Class A,0.0163592
Meta Platforms Inc,0.0157528
Berkshire Hathaway Inc Class B,0.013710100000000001
Alphabet Inc. Class C,0.013637900000000001
Tesla Inc,0.0135224
Hess Corp,0.0128834
Lilly (Eli) & Co.,0.011114800000000001
JPMorgan Chase & Co. (Chemical Bank),0.00985964
Procter & Gamble Co. (OH) (1905),0.00922273
Broadcom Ltd. (Avago Technologies),0.00913333
UnitedHealth Group Inc.,0.00904173
VISA Inc,0.00832022
Mastercard Inc,0.00800597
ConocoPhillips (Phillips Petroleum),0.00785626
"Home Depot, Inc. (The)",0.00765532
AbbVie Inc,0.00760628
Emerson Electric Co.,0.007070419999999999
ExxonMobil Corp. (Standard Oil of New Jersey),0.00657115
Royalty Pharma PLC,0.0063145499999999995
Honeywell International Inc. (Allied Chemical and Dye - Allied Signal),0.00613162
Dover Corp.,0.006059940000000001
Salesforce.com Inc.,0.0058667
"Amgen, Inc.",0.00580255
RB Global Inc,0.0054898
Pioneer Natural Resources Co.,0.00518652
"Adobe Systems, Inc.",0.00501503
Canadian Pacific Railway Ltd. (2001),0.00476018
Bank of America Corp. (North Carolina National Bank),0.00464791
Advanced Micro Devices Inc,0.00462318
Accenture Plc,0.00441599
Coca Cola Co.,0.00441524
Deere & Co.,0.00439683
"Thermo Fisher Scientific, Inc.",0.00433726
Costco Co.,0.00432004
Merck & Co,0.004263739999999999
"Pepsico Inc. (Loft, Inc.)",0.00425797
Walmart Inc,0.00424884
"Cisco Systems, Inc.",0.00415787
Netflix Inc,0.00402196
Linde Plc.,0.00399094
Danaher Corp.,0.00395924
Abbott Laboratories,0.00390063
McDonalds Corp.,0.0038926
Intel Corp.,0.00388246
Oracle Corp,0.00379164
Boston Scientific Inc.,0.00377133
Ametek Inc.,0.00360131
Wells Fargo & Co.  (Northwest Bancorporation),0.00358195
Comcast Corp.  Class A,0.00352853
"Intuit, Inc.",0.00350974
Walt Disney Co. (The),0.00346882
PG&E Corp. (Pacific Gas & Electric),0.0034674500000000004
Nova Measuring Instruments Ltd,0.0033835
International Business Machines Corp.,0.0033806500000000002
Boeing Company,0.00323889
QUALCOMM Inc.,0.00322566
Johnson & Johnson Co.,0.00317245
Lam Research Corp.,0.00312105
Verizon Communications (Bell Atlantic Corp.),0.00309821
Dominos Pizza Inc,0.0030317300000000003
Union Pacific Corp.,0.0030053000000000002
"Lowes Companies, Inc.",0.00296031
Intuitive Surgical Inc,0.00294705
Philip Morris International Inc,0.0029266599999999998
Xylem Inc,0.0029227999999999997
NIKE Inc.,0.00285165
"Constellation Brands, Inc.",0.0028494199999999996
S&P Global Inc. (McGraw-Hill Inc.),0.0027691900000000004
Uber Technologies Inc,0.0027294299999999997
General Electric Co,0.0027184
Analog Devices Inc,0.0027062
ServiceNow Inc,0.00268316
Medtronic Plc,0.0026714100000000004
Hartford Financial Services Group,0.0025986
Ingersoll Rand Inc,0.00259558
Hubbell Inc Class B,0.0025910499999999997
"Marsh & McLennan Companies, Inc.",0.0025561
Johnson Controls International plc (Tyco Laboratories),0.00254756
Goldman Sachs Group Inc,0.00252043
"Vertex Pharmaceuticals, Inc.",0.00251976
"Micron Technology, Inc.",0.0024657100000000003
Regeneron Pharmaceuticals Inc.,0.0024577699999999997
3M Co. (Minnesota Mining & Manufacturing),0.00243563
AT&T Inc. (Southwestern Bell - SBC Corp.),0.0024041699999999997
"Pfizer, Inc.",0.00237757
Cigna Holding Co,0.00237479
TJX Companies Inc.,0.00237328
Morgan Stanley,0.00236178
Valaris Ltd,0.00235401
NextEra Energy Inc.,0.0023405500000000003
Willis Towers Watson Public Limited Co,0.0023400599999999997
Booking Holdings Inc. (Priceline),0.0023343500000000002
"Texas Instruments, Inc.",0.00232842
Sherwin-Williams Co.,0.00232717
TopBuild Corp,0.00226218
OReilly Automotive Inc.,0.0022539500000000002
Raytheon Technologies Corp. (United Technologies),0.00224408
Antero Resources Corp,0.00222186
"Fiserv, Inc.",0.00221406
BlackRock Inc. Class A,0.00217509
Enerplus Corp,0.00216531
Ideaya Biosciences Inc,0.002147
EQT Corporation (Equitable Gas Co.),0.0021355
EYEPOINT PHARMACEUTICALS INC,0.00212934
American Express Co,0.00212207
Eaton Corp. (Torbenson Axle Co. - Eaton Axle & Spring),0.0021143200000000003
PPL Corp. (Pennsylvania Power & Light),0.00207745
Southern Co.,0.00207491
Charles Schwab Corp,0.0020518
"Travelers Companies, Inc. (The) (St. Paul Fire and Marine Insurance)",0.00205056
Starbucks Corp.,0.00199065
Lennar Corp. Class A,0.00197702
"Citigroup, Inc.",0.00197292
"D.R. Horton, Inc.",0.00196196
Sitio Royalties Corp,0.00191457
MoonLake Immunotherapeutics,0.0019007499999999999
Biogen Inc,0.0018993999999999999
FedEx Corporation,0.0018814300000000001
Republic Services Inc.,0.0018751999999999998
"United Parcel Service, Inc. Class B",0.00187316
Target Corp.,0.0018675
Progressive Corp.,0.0018673000000000001
Blackstone Group Inc,0.0018640899999999999
"ProLogis, Inc.",0.00186034
Applied Materials Inc.,0.0018598999999999998
MetLife Inc.,0.0018470600000000002
Equinix Inc,0.00184702
L3harris Technologies Inc,0.00184382
Mondelez International Inc. (Kraft Foods),0.00179003
Biohaven Ltd,0.0017841
Novo-Nordisk A/S ADS,0.0017380000000000002
VICI Properties Inc,0.00172959
HCA Healthcare Inc,0.00171215
Automatic Data Processing Inc,0.00167959
CVS Health Corp. (Melville Shoe),0.00165832
Elevance Health Inc,0.00164274
T-Mobile US Inc,0.0016346800000000001
"American International Group, Inc.",0.0016309599999999999
Northern Oil and Gas Inc,0.00161539
Palo Alto Networks Inc,0.00155061
"Cabaletta Bio, Inc.",0.00152973
CME Group Inc,0.00151899
Soleno Therapeutics Inc,0.0015168599999999999
Synopsys Inc.,0.00151392
"Cadence Design Systems, Inc.",0.00148506
Structure Therapeutics Inc,0.00147731
Intercontinental Exchange Inc,0.00147298
DexCom Inc,0.0014727100000000001
Kenvue Inc,0.00147206
Ionis Phrmacutls,0.0014457600000000001
"Altria Group, Inc. (Philip Morris)",0.00142973
