Name,Total_investment,UCRP_Amount,GEP_Amount
1868 UNIVERITAS FUND,287436226,201205358,86230868
1‐5 YEAR CREDIT,427002959,0,427002959
A&E NYC WORKFORCE HOUSING,68828649,68828649,0
A&E REAL ESTATE PARTNERSHIP II,118068772,118068772,0
ACM ALAMOSA I,453044152,453044152,0
ACM ALAMOSA I A,316109291,91048378,225060913
ADAGE CAPITAL,1147935409,803049752,344885657
ALATUS CAPITAL,529562308,325214879,204347429
ALBACORE PARTNERS I,307747076,307747076,0
AMERRA CAPITAL,56811339,48289638,8521701
APOLLO DEDICATED INVEST POOL,201132714,170962807,30169907
APOLLO EUROPEAN PRINCIPAL FINANCE FUND II,1357336,1357336,0
APOLLO FINANCIAL CREDIT INVESTMENT III,170206991,144675942,25531049
APOLLO FUND IX,129052735,129052735,0
APOLLO INFRA EQUITY,37939022,32248169,5690853
APOLLO INVESTMENT FUND VI,900659,900659,0
APOLLO INVESTMENT FUND VII LP,256496,256496,0
APOLLO INVESTMENT FUND VIII,26643672,26643672,0
APOLLO MANAGEMENT CO-INVESTMENT,76087442,0,76087442
APOLLO MANAGEMENT CO‐INVESTMENT,360875853,360875853,0
APOLLO SVF2,459412175,367906088,91506087
ARIEL US SMALL CAP,537318839,357232721,180086118
ARROWSTREET GLOBAL 130-30,506848410,0,506848410
ARROWSTREET GLOBAL 130‐30,1857796382,1857796382,0
ARSENAL CAPITAL PARTNERS CO-INVESTMENT,43462556,0,43462556
ARSENAL CAPITAL PARTNERS CO‐INVESTMENT,90723472,90723472,0
ARSENAL CAPITAL PARTNERS GROWTH,5419289,3793502,1625787
ARSENAL CAPITAL PARTNERS III,6262183,0,6262183
ARSENAL CAPITAL PARTNERS IV,84805861,63604396,21201465
ARSENAL CAPITAL PARTNERS V LP,135464154,94824908,40639246
ARSENAL CAPITAL PARTNERS VI,55135553,38594887,16540666
BAIN CAPITAL CREDIT MANAGED ACCOUNT,3265000,2775250,489750
BARING PRIVATE EQUITY ASIA CO-INVESTMENT,8500073,0,8500073
BARING PRIVATE EQUITY ASIA CO‐INVESTMENT,19863762,19863762,0
BERKSHIRE FUND IX,106392725,0,106392725
BERKSHIRE FUND VII,1116172,0,1116172
BFAM ASIA OPPORTUNITY FUND,197626965,132397418,65229547
BG SPECIAL SITUATIONS BO,36836705,36836705,0
BG SPECIAL SITUATIONS VC,36836705,36836705,0
BIWA FUND LIMITED,866985817,577012113,289973704
BLACKROCK PASSIVE EM,427257706,427257706,0
"BLACKSTONE BIOMED LIFE SCIENCE REAL ESTATE, LP",213569592,160177194,53392398
BLACKSTONE CAPITAL PARTNERS ASIA I,268835377,215975398,52859979
