Name,Amount
SEQUOIA CAPITAL GLOBAL GROWTH III,190915437
SEQUOIA PRIVATE EQUITY,173497512
SG GROWTH PARTNERS IV,171244366
THOMA BRAVO FUND XIII,159447818
THOMA BRAVO XIV,146612780
SEQUOIA CAPITAL CHINA GROWTH VI,115831217
BERKSHIRE FUND IX,106392725
THOMA BRAVO DISCOVER II,105176005
CERTARES HOLDINGS,102950574
BPEA VII,88187167
THOMA BRAVO CO-INVESTMENT,86297960
1868 UNIVERITAS FUND,86230868
THOMA BRAVO CO-INVESTMENT,84468405
SYCAMORE PARTNERS III,83277067
MADISON DEARBORN CAPITAL PARTNERS CO-INVESTMENT,82682246
SG GROWTH PARTNERS III,82395575
COLUMN GROUP IV,81799973
BOW VENTURES FUND I,81137794
DCP I,71601792
ROUNDTABLE HEALTHCARE PARTNERS CO-INVESTMENT,70386369
SEQUOIA CAPITAL FUND,68617588
FURTHER GLOBAL CAPITAL I,61256834
THOMA BRAVO CO-INVESTMENT,60474190
COLUMN GROUP III,58682223
BLACKSTONE CAPITAL PARTNERS VIII,53648286
BLACKSTONE STRATEGIC PARTNERS VIII,53545427
BLACKSTONE CAPITAL PARTNERS ASIA I,52859979
BLACKSTONE GROUP CO-INVESTMENT,46432543
RNT ASSOCIATES,44622301
THOMA BRAVO DISCOVER III,43493640
THE ENGINE FUND I,43282266
TPG GROWTH IV,43177970
ZMC III,42534773
H.I.G. MIDDLE MARKET LBO FUND III,41748351
ARSENAL CAPITAL PARTNERS V LP,40639246
BREGAL SAGEMOUNT EQUITY III,40583487
THOMA BRAVO XV,39681165
SEQUOIA CAPITAL CHINA GROWTH V,38511844
THE RISE FUND,35413892
NEOTRIBE VENTURES I,35343353
TSG CONSUMER PARTNERS CO-INVESTMENT,34203277
THOMA BRAVO CO-INVESTMENT,33872727
BOW VENTURES FUND I,33727585
THOMA BRAVO GROWTH I,32980384
CLEARLAKE CAPITAL PARTNERS VII,32154570
H.I.G. EUROPE CAPITAL PARTNERS III,31961419
FURTHER GLOBAL CAPITAL II,30203079
COLUMN GROUP II,29856105
SEQUOIA CAPITAL US GROWTH IX,29794066
SEQUOIA CAPITAL GGF III CHINA ANNEX,29268030
EQT PARTNERS CO-INVESTMENT,29021609
SEQUOIA CAPITAL GGF III US INDIA ANNEX,29019149
ARSENAL CAPITAL PARTNERS CO-INVESTMENT,28674648
SEQUOIA CAPITAL INDIA GROWTH III,28516308
SYCAMORE PARTNERS II,27118777
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT,26757017
