Name,Amount
BREIT,1544349518
BLACKSTONE GROUP CO-INVESTMENT,171540807
BROOKFIELD STRATEGIC REAL ESTATE PARTNERS III,105264561
"BLACKSTONE PROPERTY PARTNERS US, LP",87789337
PROLOGIS TARGETED U.S. LOGISTICS FUND,74967155
IPI DATA CENTER FUND I,60403853
"KSL CAPITAL PARTNERS V, L.P.",59731620
"BLACKSTONE BIOMED LIFE SCIENCE REAL ESTATE, LP",53392398
BLUE VISTA BOSTON,52786040
LION INDUSTRIAL TRUST,48189749
BLACKSTONE REAL ESTATE PARTNERS ASIA II,45475749
"BLACKSTONE REAL ESTATE PARTNERS IX, LP",44505821
BROOKFIELD FAIRFIELD VAMF III,42845162
BLACKSTONE PROPERTY PARTNERS EUROPE,32064535
BROOKFIELD ASSET MANAGEMENT CO-INVESTMENT,31864006
UC VENTURES SEPARATE ACCOUNT,30786260
FOCUS SENIOR HOUSING FUND I,30136752
PRISA LP,29823039
BLUE VISTA STUDENT HOUSING SELECT STRATEGIES FUND,22280276
BLUE VISTA STUDENT HOUSING SEPEARTE ACCOUNT,20898737
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,15779122
KKR REAL ESTATE PARTNERS II,15458929
CIM FUND VIII,13512692
KKR CO-INVESTMENT,13189167
HEITMAN HART,9186340
CLARION PARTNERS SEPARATE ACCOUNT,8617873
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,8016420
TRI PACIFIC CAPITAL ADVISORS SEPARATE ACCOUNT,5125115
CERBERUS REAL ESTATE III,4796285
SAGEHALL PARTNERS FUND I LP,4474352
SAGEHALL PARTNERS SEPARATE ACCOUNT,4451279
BLACKSTONE REAL ESTATE PARTNERS X LP,3761409
KSL CAPITAL PARTNERS III,3573149
WESTBROOK REAL ESTATE FUND VIII,3448339
BUCHANAN INVESTMENTS SEPARATE ACCOUNT,2614491
WALTON STREET REAL ESTATE FUND VI,2521403
CLARION PARTNERS SEPARATE ACCOUNT,2162853
CIM REAL ESTATE FUND III,2122521
WESTBROOK REAL ESTATE FUND IX,1862614
BLACKSTONE REAL ESTATE PARTNERS VII,1585128
WESTBROOK REAL ESTATE FUND VII,493709
ROCKPOINT REAL ESTATE FUND IV,445626
JP MORGAN SEPARATE ACCOUNT,330670
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,235122
CLARION PARTNERS SEPARATE ACCOUNT,156288
BLACKSTONE REAL ESTATE PARTNERS VI,154041
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,153195
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,117108
ROCKPOINT REAL ESTATE FUND III,107590
BLACKSTONE FUND V,57928
METROPOLITAN WORKFORCE HOUSING FUND,53219
JP MORGAN SEPARATE ACCOUNT,32193
TRI PACIFIC CAPITAL ADVISORS SEPARATE ACCOUNT,6521
