Name,Amount
HAZELTON FUND LIMITED,701124222
ACM ALAMOSA I,453044152
ALBACORE PARTNERS I,307747076
HOMEWARD OPPORTUNITIES FUND,265902786
"OWL ROCK FIRST LIEN FUND, L.P",261928105
OWL ROCK CAPITAL CORP,257866778
OWL ROCK TECH FINANCE,220337376
OWL ROCK TECH FINANCE II,152583153
BLUE OWL,147216737
H.I.G. BAYSIDE V,125188528
ACM ALAMOSA I A,91048378
RED KITE FUND I,70995107
AMERRA CAPITAL,48289638
SENIOR CREDIT FUND,40241196
BREGAL SAGEMOUNT COF II,39087148
PREGIS TOPCO LLC,33547500
FAIRFAX ALLIED WORLD ASSURANCE,29616111
LAFAYETTE SQUARE,27720000
ORTH II,26695425
"VIANT MEDICAL HOLDINGS, INC",26250000
H.I.G BAYSIDE LOAN OPP FEEDER V,17876382
HOMEWARD OPP FUND I LP,17162983
HOF MANAGEMENT CO,2902938
BAIN CAPITAL CREDIT MANAGED ACCOUNT,2775250
APOLLO EUROPEAN PRINCIPAL FINANCE FUND II,1357336
SANKATY CREDIT OPPORTUNITIES IV,1244121
