Name,Amount
TOPANGA PRIVATE OPPORTUNITIES,830036657
THOMA BRAVO FUND XIII,319038507
SEQUOIA CAPITAL GLOBAL GROWTH III,288178787
THOMA BRAVO XIV,219919170
EQT IX,218373003
BLACKSTONE CAPITAL PARTNERS ASIA I,215975398
CERTARES HOLDINGS,205901148
THOMA BRAVO CO‐INVESTMENT,201361908
1868 UNIVERITAS FUND,201205358
THOMA BRAVO CO‐INVESTMENT,197092945
OLYMPUS GROWTH FUND VII,175197828
BLACKSTONE STRATEGIC CAPITAL,165632100
THOMA BRAVO XV,158724659
EQT VIII,147861421
FURTHER GLOBAL CAPITAL I,142932612
THOMA BRAVO CO‐INVESTMENT,141106444
RNT ASSOCIATES,136700291
APOLLO FUND IX,129052735
SYCAMORE PARTNERS III,127595098
BOW VENTURES FUND I,125510922
BLACKSTONE CAPITAL PARTNERS VIII,125179333
BLACKSTONE STRATEGIC PARTNERS VIII,124939330
TPG CAPITAL VIII,120179366
KHOSLA VENTURES V,120090708
"K5 PRIVATE INVESTORS, L.P.",117026805
GI PARTNERS VI,110497055
BLACKSTONE GROUP CO‐INVESTMENT,108342600
SEQUOIA CAPITAL FUND,103573718
BOW VENTURES FUND I,103324361
THOMA BRAVO GROWTH I,98941151
H.I.G. MIDDLE MARKET LBO FUND III,97412820
BLACKSTONE STRATEGIC PARTNERS IX,97333758
ARSENAL CAPITAL PARTNERS V LP,94824908
BREGAL SAGEMOUNT EQUITY III,94694803
KHOSLA VENTURES IV,91141101
BPEA VII,88187167
TPG GROWTH IV,81907721
TSG CONSUMER PARTNERS CO‐INVESTMENT,79807647
GGV CAPITAL V,79680423
THOMA BRAVO CO‐INVESTMENT,79036364
CLEARLAKE CAPITAL PARTNERS VII,75027331
PINE BROOK CAPITAL PARTNERS II,73674358
BLACKSTONE GROUP CO‐INVESTMENT,72312008
FURTHER GLOBAL CAPITAL II,70473851
ROUNDTABLE HEALTHCARE PARTNERS CO‐INVESTMENT,70386369
THE RISE FUND LP,67179425
THOMA BRAVO DISCOVER III,65240460
THOMA BRAVO CO‐INVESTMENT,64011736
ARSENAL CAPITAL PARTNERS IV,63604396
EQT PARTNERS CO‐INVESTMENT,58043217
UC VENTURES CO‐INVESTMENT,57973984
GGV VII,57033893
BLACKSTONE GROUP CO‐INVESTMENT,57020853
ARSENAL CAPITAL PARTNERS CO‐INVESTMENT,56218353
APOLLO MANAGEMENT CO‐INVESTMENT,49200423
TPG CAPITAL VIII (HEALTHCARE I),48783154
WARBURG PINCUS PRIVATE EQUITY XII,48542308
THOMA BRAVO CO‐INVESTMENT,47601904
UC VENTURES CO‐INVESTMENT,46221681
TPG CAPITAL CO‐INVESTMENT,46138352
FURTHER GLOBAL CAPITAL MANAGEMENT CO‐INVESTMENT,45685046
SEQUOIA CAPITAL GGF III CHINA ANNEX,44178855
SEQUOIA CAPITAL GGF III US INDIA ANNEX,43803179
BREGAL SAGEMOUNT CO‐INVESTMENT,42414349
WARBURG PINCUS PRIVATE EQUITY XI,40504930
H.I.G. EUROPE MIDDLE MARKET LBO FUND,40432787
THOMA BRAVO FUND XIII,39861955
GGV CAPITAL VIII,39472397
TSG8 L.P.,39218757
RNT CAPITAL CO‐INVESTMENT,38752396
ARSENAL CAPITAL PARTNERS VI,38594887
BG SPECIAL SITUATIONS VC,36836705
BG SPECIAL SITUATIONS BO,36836705
ARSENAL CAPITAL PARTNERS CO‐INVESTMENT,34505119
EQT PARTNERS CO‐INVESTMENT,33415482
BLACKSTONE GROUP CO‐INVESTMENT,33158645
BLACKSTONE GROUP CO‐INVESTMENT,31630477
BPEA VIII,31148513
DCP I,30686482
"KHOSLA VENTURES SEED, LP",29321365
LONETREE CAPITAL CO‐INVESTMENT,28472352
THOMA BRAVO DISCOVER IV,27441574
GGV DISCOVERY II,27364788
SYCAMORE PARTNERS MANAGEMENT CO‐INVESTMENT,27330968
APOLLO INVESTMENT FUND VIII,26643672
KHOSLA VENTURES SEED B L.P.,26619559
CLEARLAKE CO‐INVESTMENT,26332853
CLEARLAKE CO‐INVESTMENT,25974349
"ICON PARTNERS IV, L.P.",25841777
BLACKSTONE CAPITAL PARTNERS ASIA II,25579277
BLACKSTONE GROUP CO‐INVESTMENT,24907643
ROUNDTABLE HEALTHCARE CAPITAL PARTNERSHIP III,24287756
SUN CAPITAL PARTNERS VI,23679225
K1 INVESTMENT MANAGEMENT CO‐INVESTMENT,22244969
BLACKSTONE GROUP CO‐INVESTMENT,22039785
FURTHER GLOBAL CAPITAL MANAGEMENT CO‐INVESTMENT,21030601
BARING PRIVATE EQUITY ASIA CO‐INVESTMENT,19833504
CANAAN IX,19780723
SYCAMORE PARTNERS MANAGEMENT CO‐INVESTMENT,18288274
EQT PARTNERS CO‐INVESTMENT,18256748
GGV DISCOVERY III,18245536
BOW VENTURES FUND II,17617255
ICONIQ CAPITAL CO‐INVESTMENT,17273970
HIG MIDDLE MARKET LBO FD II,15887113
COLUMN GROUP CO‐INVESTMENT,14999997
MSA ENTERPRISES,14954160
GGV VII PLUS,13877459
MSA ACCELERATION FUND,13105524
DCP CAPITAL PARTNERS CO‐INVESTMENT,12880000
COLUMN GROUP CO‐INVESTMENT,12751947
BLACKSTONE GROUP CO‐INVESTMENT,12550926
JLL PARTNERS CO‐INVESTMENT,11664126
FOUNTAINVEST CHINA GROWTH CAP FUND II,11621376
ICONIQ STRATEGIC PARTNERS IV L.P.,11386120
BLACKSTONE CAPITAL PARTNERS VI,10610675
