Name,Amount
MSCI ACWI IMI TF EX‐TOB AND FF,33245704985
SSGA S&P 500 EX‐TOB UCRP,6207077778
ARROWSTREET GLOBAL 130‐30,1857796382
ADAGE CAPITAL,803049752
HIMALAYA CAPITAL INVESTMENT,427189743
ARIEL US SMALL CAP,357232721
IMPACTIVE CAPITAL UCRP,328661242
ALATUS CAPITAL,325214879
KOTAK INDIA GROWTH,305544441
EARNEST PARTNERS SMALL CAP VALUE,267391254
HEALTHCARE INVESTMENT FUND II,266907951
KOTAK DIRECT INVESTMENT,258252098
SPDR MSCI,252003532
IIFL HIGH GROWTH UCRP,229956326
WARD FERRY SMALLER COMPANIES,147932626
WARD FERRY RECON,74924727
INCENTIVE ACTIVE VALUE,61066467
GAOLING FUND (EQ),25257249
TARPON INVESTMENTS,8749506
