Fund Name (AS CITED),ADAGE CAPITAL
Internal Name,ADAGE CAPITAL
Restricted y/n,n
Ammount of companies in fund (restricted),847
Filing Date (restricted),"Dec 31, 2023"
Source,https://whalewisdom.com/filer/adage-capital-partners-gp-llc
Note:,
Restricted Data:,
Company,Index Weight
Microsoft Corp.,0.0558821
Apple Inc,0.0541489
Amazon.com Inc.,0.0303872
NVIDIA Corp.,0.0250162
Alphabet Inc. Class A,0.0163592
Meta Platforms Inc,0.0157528
Berkshire Hathaway Inc Class B,0.0137101
Alphabet Inc. Class C,0.0136379
Tesla Inc,0.0135224
Hess Corp,0.0128834
Lilly (Eli) & Co.,0.0111148
JPMorgan Chase & Co. (Chemical Bank),0.00985964
Procter & Gamble Co. (OH) (1905),0.00922273
Broadcom Ltd. (Avago Technologies),0.913333
UnitedHealth Group Inc.,0.90417
VISA Inc,0.00832022
Mastercard Inc,0.00800597
ConocoPhillips (Phillips Petroleum),0.00785626
"Home Depot, Inc. (The)",0.00765532
AbbVie Inc,0.00760628
Emerson Electric Co.,0.00707042
ExxonMobil Corp. (Standard Oil of New Jersey),0.00657115
Royalty Pharma PLC,0.00631455
Honeywell International Inc. (Allied Chemical and Dye - Allied Signal),0.00613162
Dover Corp.,0.00605994
Salesforce.com Inc.,0.0058667
"Amgen, Inc.",0.00580255
RB Global Inc,0.0054898
Pioneer Natural Resources Co.,0.00518652
"Adobe Systems, Inc.",0.00501503
Canadian Pacific Railway Ltd. (2001),0.00476018
Bank of America Corp. (North Carolina National Bank),0.00464791
Advanced Micro Devices Inc,0.00462318
Accenture Plc,0.00441599
Coca Cola Co.,0.00441524
Deere & Co.,0.00439683
"Thermo Fisher Scientific, Inc.",0.00433726
Costco Co.,0.00432004
Merck & Co,0.00426374
"Pepsico Inc. (Loft, Inc.)",0.00425797
Walmart Inc,0.00424884
"Cisco Systems, Inc.",0.00415787
Netflix Inc,0.00402196
Linde Plc.,0.00399094
Danaher Corp.,0.00395924
Abbott Laboratories,0.00390063
McDonalds Corp.,0.0038926
Intel Corp.,0.00388246
Oracle Corp,0.00379164
Boston Scientific Inc.,0.00377133
Ametek Inc.,0.00360131
Wells Fargo & Co.  (Northwest Bancorporation),0.00358195
Comcast Corp.  Class A,0.00352853
"Intuit, Inc.",0.00350974
Walt Disney Co. (The),0.00346882
PG&E Corp. (Pacific Gas & Electric),0.00346745
Nova Measuring Instruments Ltd,0.0033835
International Business Machines Corp.,0.00338065
Boeing Company,0.00323889
QUALCOMM Inc.,0.00322566
Johnson & Johnson Co.,0.00317245
Lam Research Corp.,0.00312105
Verizon Communications (Bell Atlantic Corp.),0.00309821
Dominos Pizza Inc,0.00303173
Union Pacific Corp.,0.0030053
"Lowes Companies, Inc.",0.00296031
Intuitive Surgical Inc,0.00294705
Philip Morris International Inc,0.00292666
Xylem Inc,0.0029228
NIKE Inc.,0.00285165
"Constellation Brands, Inc.",0.00284942
S&P Global Inc. (McGraw-Hill Inc.),0.00276919
Uber Technologies Inc,0.00272943
General Electric Co,0.0027184
Analog Devices Inc,0.0027062
ServiceNow Inc,0.00268316
Medtronic Plc,0.00267141
Hartford Financial Services Group,0.0025986
Ingersoll Rand Inc,0.00259558
