Fund Name (AS CITED),ARROWSTREET GLOBAL 130‐30
Internal Name,Arrowstreet Global Equity Fund
Restricted y/n,Y
Ammount of companies in fund (restricted),797
Filing Date (restricted),"Mar 31, 2024"
Source,https://mim.fgsfulfillment.com/download.aspx?sku=PRRP-AGEF-ANZ
Note:,
Restricted Data:,
Company,Index Weight
Microsoft Corp,6.37
Apple Inc,5.24
Nvidia Corp,4.35
Meta Platforms Inc,3.28
Wells Fargo & Co,2.46
TotalEnergies SE,2
Bank of America,1.77
Royal Dutch Shell A,1.53
JPMorgan Chase & Co,1.5
Mastercard Inc,1.34
