Fund Name (AS CITED),HIMALAYA CAPITAL INVESTMENT,,,,,,,,,,,,,,,,,,
Internal Name,HIMALAYA CAPITAL INVESTMENT,,,,,,,,,,,,,,,,,,
Restricted y/n,n,,,,,,,,,,,,,,,,,,
Ammount of companies in fund (restricted),6,,,,,,,,,,,,,,,,,,
Filing Date (restricted),"Dec 31, 2023",,,,,,,,,,,,,,,,,,
Source,https://whalewisdom.com/filer/himalaya-capital-management-llc,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Restricted Data:,,,,,,,,,,,,,,,,,,,
Company,Index Weight,,,,,,,,,,,,,,,,,,
BANK OF AMERICA CORP,0.29560,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
Alphabet Inc. Class C,0.20830,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
Alphabet Inc. Class A,0.17250,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
Berkshire Hathaway Inc Class B ,0.15550,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
"East West Bancorp, Inc.",0.09700,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
Apple Inc,0.07100,,,,,,,,,,,,,,,,13F Filing,2023-12-31,2024-02-14
