Company,Index Weight
microsoft corp,0.0414801270061904
apple inc,0.03602359492629518
nvidia corp,0.031367234326117606
amazon com inc,0.024152514885064418
alphabet inc class a,0.014721759639633078
meta platforms inc class a,0.014227602108852587
alphabet inc class c,0.01302093634460637
broadcom inc,0.008643117314928643
eli lilly,0.008565082047904847
taiwan semiconductor manufacturing,0.008532667653751724
jpmorgan chase & co,0.008083913962743399
berkshire hathaway inc class b,0.007538098348811311
tesla inc,0.006959922145759859
unitedhealth group inc,0.006630153071443939
visa inc class a,0.006319725191453448
novo nordisk class b,0.005955125967054405
mastercard inc class a,0.005577605499433681
procter & gamble,0.005497743522933779
asml holding nv,0.005325082874087381
johnson & johnson,0.0050801408880987815
home depot inc,0.004833411841623679
merck & co inc,0.004791760139885702
costco wholesale corp,0.004666500122438136
tencent holdings ltd,0.004226814768365116
abbvie inc,0.00407241674680242
nestle sa,0.0038858628772651836
bank of america corp,0.0038834472869866696
salesforce inc,0.003855410489972038
walmart inc,0.0038481423531626013
samsung electronics ltd,0.0038241200247813847
advanced micro devices inc,0.0036781547190468883
coca-cola,0.0036663676271203424
netflix inc,0.003555491472677863
pepsico inc,0.0034900687869878315
shell plc,0.00345975725662869
toyota motor corp,0.003411788163529282
lvmh,0.0033411772641382563
astrazeneca plc,0.003290721009093581
thermo fisher scientific inc,0.0031982725904506635
wells fargo,0.0031732619801995354
adobe inc,0.003128347493318643
linde plc,0.0031048502934366753
walt disney,0.0029728905671364283
novartis ag,0.0028819046322790926
mcdonalds corp,0.002879047370150835
cisco systems inc,0.0028137183828712328
accenture plc class a,0.0028098570774410647
sap,0.002783496948514001
oracle corp,0.0027834773515343554
abbott laboratories,0.002684779981156654
qualcomm inc,0.0026699836674282168
intuit inc,0.002577528652379575
ge aerospace,0.0025476471481617933
caterpillar inc,0.002506519471602375
danaher corp,0.002475771204171666
roche holding par ag,0.002460775058513082
totalenergies,0.0024336335546007114
applied material inc,0.002429917576649551
verizon communications inc,0.002401099414875012
hsbc holdings plc,0.0023340376455786983
texas instrument inc,0.002320354539480533
comcast corp class a,0.0022695971688933493
alibaba group holding ltd,0.0022209817364222556
international business machines co,0.002206972415514042
servicenow inc,0.0021384449997158385
union pacific corp,0.002132462617008701
american express,0.002105454172140077
rtx corp,0.0020946204863106907
amgen inc,0.0020794494331351538
siemens n ag,0.0020750480496705198
pfizer inc,0.002074080215533558
bhp group ltd,0.0020470899115475794
goldman sachs group inc,0.0020104890769565096
royal bank of canada,0.0019559440923313898
nextera energy inc,0.0019474438980641704
s&p global inc,0.0019425577365523511
intel corporation corp,0.0019403066310402796
intuitive surgical inc,0.0019115255578151136
lowes companies inc,0.0018940421029654978
uber technologies inc,0.0018781539220171831
eaton plc,0.0018594976321606143
unilever plc,0.001851256573055034
honeywell international inc,0.0018364495144759774
micron technology inc,0.001820332498272148
elevance health inc,0.0018037852780049938
booking holdings inc,0.0017970048754059648
commonwealth bank of australia,0.0017702581680633521
progressive corp,0.0017568737745386285
lam research corp,0.0017511000124931825
schneider electric,0.0017500843449562277
at&t inc,0.0017053674363272596
morgan stanley,0.001703081972447691
citigroup inc,0.0017006058641601313
stryker corp,0.0016544967969360403
nike inc class b,0.0016468978674048485
blackrock inc,0.0016322084939802103
allianz,0.0016137946954012368
charles schwab corp,0.0016136552904740733
sanofi sa,0.0015852113548315394
loreal sa,0.0015814836524364125
mitsubishi ufj financial group inc,0.0015794462557452147
tjx inc,0.0015748669472480036
united parcel service inc class b,0.001540427033206113
deere,0.0015379945055745674
toronto dominion,0.0015267255029817145
medtronic plc,0.0015233470900349183
boston scientific corp,0.001523170722330805
tokyo electron ltd,0.001509784170224081
reliance industries ltd,0.0015094681163942962
sony group corp,0.0014984494919302786
cigna,0.0014907795970985698
vertex pharmaceuticals inc,0.0014790780723441476
lockheed martin corp,0.0014769014987522124
lair liquide societe anonyme pour,0.0014537552847124827
automatic data processing inc,0.001424941199805037
starbucks corp,0.0014249437980792495
chubb ltd,0.001421111862043779
analog devices inc,0.0014206254346395282
airbus group,0.0013970637963300456
marsh & mclennan inc,0.001395976729935602
prologis reit inc,0.0013844708007279885
boeing,0.0013811794529744578
kla corp,0.0013737712772630402
fiserv inc,0.0013620115301019359
mondelez international inc class a,0.0013597214361611182
regeneron pharmaceuticals inc,0.00134937477285428
ubs group ag,0.0013367780603192193
palo alto networks inc,0.0013251352375427525
bristol myers squibb,0.0013242459068713974
keyence corp,0.0012870540840229238
csl ltd,0.0012737758577617375
chipotle mexican grill inc,0.0012537827655370278
cvs health corp,0.001246653960031873
blackstone inc,0.0012462275015326725
shopify subordinate voting inc cla,0.0012408715933120871
synopsys inc,0.0012404959826608835
canadian natural resources ltd,0.0012312815145301059
waste management inc,0.0012254329291406152
t mobile us inc,0.0012178656830122063
glaxosmithkline,0.0011987916651032002
banco santander sa,0.0011945060352148706
gilead sciences inc,0.001177866179978916
rio tinto plc,0.0011614786180892697
american tower reit corp,0.0011574391238111969
relx plc,0.0011563836457233133
hitachi ltd,0.0011555304199178241
southern,0.001148534322725186
aia group ltd,0.001136048942303347
hermes international,0.00113363503308064
abb ltd,0.0011206340266240367
marathon petroleum corp,0.0011135080576449208
cadence design systems inc,0.0011073299750918913
compagnie financiere richemont sa,0.001096566709549187
intercontinental exchange inc,0.0010939647889590624
pdd holdings ads inc,0.0010932158479209184
diageo plc,0.0010918167718425027
cme group inc class a,0.00108937788094436
safran sa,0.0010871319382368921
duke energy corp,0.0010867125321962685
iberdrola sa,0.0010854783018409248
enbridge inc,0.0010845239100151774
target corp,0.0010839607235986082
icici bank ltd,0.0010768224974321708
illinois tool inc,0.0010767345937560818
mitsubishi corp,0.0010745089607386601
bnp paribas sa,0.0010726382718159262
meituan,0.001070376479738017
canadian pacific kansas city ltd,0.0010693248126568194
mckesson corp,0.0010679535782982994
sherwin williams,0.0010651257019253801
deutsche telekom n ag,0.0010650498908076683
zoetis inc class a,0.0010500123087595098
sumitomo mitsui financial group in,0.0010453860442016507
airbnb inc class a,0.0010322950399069804
freeport mcmoran inc,0.0010311608538454838
sk hynix inc,0.0010277617477561312
banco bilbao vizcaya argentaria sa,0.0010240828246105237
amphenol corp class a,0.0010153171223031916
schlumberger nv,0.001010269121642746
northrop grumman corp,0.0010092925532756228
arista networks inc,0.0010092077538265522
transdigm group inc,0.001006271399045123
parker-hannifin corp,0.0010041868735862663
colgate-palmolive,0.0010028012127217543
crowdstrike holdings inc class a,0.0009983999940905727
canadian national railway,0.0009979175578645608
zurich insurance group ag,0.0009963812270561538
equinix reit inc,0.0009901192616589352
trane technologies plc,0.0009846076659927887
national australia bank ltd,0.0009776892453376366
phillips,0.0009776916258108228
csx corp,0.0009774867634950058
paypal holdings inc,0.0009713836674834091
shin etsu chemical ltd,0.0009637718726603409
becton dickinson,0.0009558464375087173
axa sa,0.0009513216771251041
bank of montreal,0.0009482303152962487
general dynamics corp,0.0009362750850677386
cintas corp,0.0009290496671175802
mercadolibre inc,0.0009205549275901429
us bancorp,0.0009195113835669317
mercedes-benz group n ag,0.0009192620801276667
fedex corp,0.0009148099470811326
oreilly automotive inc,0.0009083571250988673
mitsui ltd,0.0009067752577198795
pioneer natural resource,0.0009029279251969461
vinci sa,0.0008936564894183555
hca healthcare inc,0.0008933642542269783
pnc financial services group inc,0.000890478727251761
recruit holdings ltd,0.0008864339857072782
moodys corp,0.0008861038158146543
nxp semiconductors nv,0.0008855103440120293
emerson electric,0.0008854090969043468
general motors,0.000879107455931483
marriott international inc class a,0.0008782031626363992
constellation energy corp,0.0008780645162294287
