Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
MICROSOFT CORP,0.02935899
NVIDIA CORP,0.027579
BROADCOM INC,0.02472353
APPLE INC,0.02471146
META PLATFORMS INC CLASS A,0.02369306
ELI LILLY + CO,0.021869
UNITEDHEALTH GROUP INC,0.01837417
VISA INC CLASS A SHARES,0.01735818
JOHNSON + JOHNSON,0.01613836
MASTERCARD INC  A,0.01481586
ALPHABET INC CL A,0.01416848
ALPHABET INC CL C,0.0132166
ABBVIE INC,0.01206426
PEPSICO INC,0.0114447
CISCO SYSTEMS INC,0.01143083
BERKSHIRE HATHAWAY INC CL B,0.01094673
TEXAS INSTRUMENTS INC,0.01057666
COSTCO WHOLESALE CORP,0.01047462
ACCENTURE PLC CL A,0.0104524
JPMORGAN CHASE + CO,0.0102726
VERIZON COMMUNICATIONS INC,0.0085818
MERCK + CO. INC.,0.00812639
WALMART INC,0.00794351
EXXON MOBIL CORP,0.00789807
COCA COLA CO/THE,0.00776314
AMPHENOL CORP CL A,0.00768878
BANK OF AMERICA CORP,0.00743722
LOCKHEED MARTIN CORP,0.0070792
AMAZON.COM INC,0.00695962
PFIZER INC,0.00678804
QUALCOMM INC,0.00647572
CITIGROUP INC,0.00636204
ADOBE INC,0.0063407
PROCTER + GAMBLE CO/THE,0.00626956
INTL BUSINESS MACHINES CORP,0.00624073
PROGRESSIVE CORP,0.00607382
WASTE MANAGEMENT INC,0.00598263
APPLIED MATERIALS INC,0.00591876
T MOBILE US INC,0.00587884
DUKE ENERGY CORP,0.00580205
AT+T INC,0.00577313
MCKESSON CORP,0.0056586
REPUBLIC SERVICES INC,0.00565659
CENCORA INC,0.0055238
CHEVRON CORP,0.00551953
WELLS FARGO + CO,0.0055147
REGENERON PHARMACEUTICALS,0.00551369
WASTE CONNECTIONS INC,0.00544832
VERTEX PHARMACEUTICALS INC,0.00511093
CHUBB LTD,0.00510461
MOTOROLA SOLUTIONS INC,0.00503405
SOUTHERN CO/THE,0.00492661
MCDONALD S CORP,0.00485738
HOME DEPOT INC,0.00474781
ROPER TECHNOLOGIES INC,0.00462451
HONEYWELL INTERNATIONAL INC,0.00448096
LAM RESEARCH CORP,0.00446316
AUTOMATIC DATA PROCESSING,0.00439406
MARATHON PETROLEUM CORP,0.00436318
CONSOLIDATED EDISON INC,0.00435526
TRAVELERS COS INC/THE,0.00423302
GENERAL MOTORS CO,0.0041673
MARSH + MCLENNAN COS,0.00403897
NORTHROP GRUMMAN CORP,0.0039988
HERSHEY CO/THE,0.0039603
ARTHUR J GALLAGHER + CO,0.00385883
GILEAD SCIENCES INC,0.00375001
AUTOZONE INC,0.00374676
ORACLE CORP,0.00366181
COMCAST CORP CLASS A,0.00363276
UNITED PARCEL SERVICE CL B,0.0036245
COGNIZANT TECH SOLUTIONS A,0.00354075
BLACKROCK INC,0.00351041
KLA CORP,0.00349818
KEYSIGHT TECHNOLOGIES IN,0.0034876
NIKE INC CL B,0.00343632
KROGER CO,0.00339229
BRISTOL MYERS SQUIBB CO,0.00337071
NEWMONT CORP,0.00325217
GOLDMAN SACHS GROUP INC,0.00317135
GENERAL MILLS INC,0.00308054
CVS HEALTH CORP,0.00304604
AMGEN INC,0.00295706
