Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
MICROSOFT CORP,7.173632
APPLE INC,6.044699
NVIDIA CORP,5.202691
AMAZON.COM INC,3.970628
ALPHABET INC CL A,2.348853
META PLATFORMS INC CLASS A,2.283268
ALPHABET INC CL C,1.987211
BERKSHIRE HATHAWAY INC CL B,1.750135
BROADCOM INC,1.413569
ELI LILLY + CO,1.410234
JPMORGAN CHASE + CO,1.340478
TESLA INC,1.289818
UNITEDHEALTH GROUP INC,1.085106
VISA INC CLASS A SHARES,1.031457
PROCTER + GAMBLE CO/THE,0.912543
MASTERCARD INC  A,0.904729
JOHNSON + JOHNSON,0.847858
HOME DEPOT INC,0.804139
MERCK + CO. INC.,0.790989
COSTCO WHOLESALE CORP,0.774026
ABBVIE INC,0.684103
SALESFORCE INC,0.64031
ADVANCED MICRO DEVICES,0.621268
BANK OF AMERICA CORP,0.620177
WALMART INC,0.618538
NETFLIX INC,0.580846
PEPSICO INC,0.5806
COCA COLA CO/THE,0.579087
THERMO FISHER SCIENTIFIC INC,0.534782
LINDE PLC,0.51873
WELLS FARGO + CO,0.516279
ADOBE INC,0.513011
WALT DISNEY CO/THE,0.494306
MCDONALD S CORP,0.476257
CISCO SYSTEMS INC,0.466899
ACCENTURE PLC CL A,0.456634
QUALCOMM INC,0.45223
