Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Microsoft Corporation,0.07181653
Apple Inc.,0.06171496
NVIDIA Corporation,0.04561266
Amazon.com Inc.,0.03760904
Meta Platforms Inc Class A,0.02542954
Alphabet Inc. Class A,0.01916077
Berkshire Hathaway Inc. Class B,0.01741547
Alphabet Inc. Class C,0.0162674
Eli Lilly and Company,0.01400245
Broadcom Inc.,0.01331197
Tesla Inc.,0.01304815
JPMorgan Chase & Co.,0.01253408
UnitedHealth Group Incorporated,0.01064913
Visa Inc. Class A,0.01048074
Exxon Mobil Corporation,0.0098266
Mastercard Incorporated Class A,0.00922585
Johnson & Johnson,0.00911652
Home Depot Inc.,0.00891899
Procter & Gamble Company,0.0087798
Costco Wholesale Corporation,0.00770716
Merck & Co. Inc.,0.007542
Advanced Micro Devices Inc.,0.00728124
AbbVie Inc.,0.00727291
Salesforce Inc.,0.00704208
Chevron Corporation,0.0062075
Netflix Inc.,0.00610286
Adobe Inc.,0.00592504
Walmart Inc.,0.00587126
Bank of America Corp,0.00552876
Coca-Cola Company,0.00546184
Accenture Plc Class A,0.00545801
PepsiCo Inc.,0.00531712
Thermo Fisher Scientific Inc.,0.00513941
Linde plc,0.00504845
McDonald's Corporation,0.00500157
Abbott Laboratories,0.00481117
Walt Disney Company,0.0047888
Wells Fargo & Company,0.00471541
Cisco Systems Inc.,0.00455258
Intuit Inc.,0.00436555
Intel Corporation,0.00425834
QUALCOMM Incorporated,0.00413151
Oracle Corporation,0.00411708
Comcast Corporation Class A,0.00406239
General Electric Company,0.00397784
Caterpillar Inc.,0.00395872
Applied Materials Inc.,0.0039529
Verizon Communications Inc.,0.00392293
International Business Machines Corporation,0.00391994
Danaher Corporation,0.00387367
Uber Technologies Inc.,0.00385274
ServiceNow Inc.,0.00373048
Union Pacific Corporation,0.0036114
Texas Instruments Incorporated,0.00356062
Pfizer Inc.,0.00349584
Amgen Inc.,0.00344856
Lowe's Companies Inc.,0.00326761
Philip Morris International Inc.,0.00325139
S&P Global Inc.,0.00324088
Intuitive Surgical Inc.,0.0031616
ConocoPhillips,0.00311151
Honeywell International Inc.,0.00305001
RTX Corporation,0.00299569
NIKE Inc. Class B,0.00296249
Goldman Sachs Group Inc.,0.00295619
American Express Company,0.00293418
Lam Research Corporation,0.00284762
Prologis Inc.,0.0028427
AT&T Inc.,0.00279768
Booking Holdings Inc.,0.00274729
Eaton Corp. Plc,0.0027387
Stryker Corporation,0.00273637
Elevance Health Inc.,0.00270839
Boeing Company,0.00267924
NextEra Energy Inc.,0.00266197
BlackRock Inc.,0.00264449
TJX Companies Inc,0.00261662
Progressive Corporation,0.00258661
Medtronic Plc,0.00255868
Vertex Pharmaceuticals Incorporated,0.00253972
Morgan Stanley,0.00252589
United Parcel Service Inc. Class B,0.00251673
Starbucks Corporation,0.00251439
Citigroup Inc.,0.00244839
Regeneron Pharmaceuticals Inc.,0.00243947
Bristol-Myers Squibb Company,0.00242422
Automatic Data Processing Inc.,0.00237294
Chubb Limited,0.00237149
Cigna Group,0.00231063
Charles Schwab Corp,0.00230684
Boston Scientific Corporation,0.00230047
Deere & Company,0.00229573
Micron Technology Inc.,0.00229372
Marsh & McLennan Companies Inc.,0.00229212
Mondelez International Inc. Class A,0.0022876
CVS Health Corporation,0.00226861
Palo Alto Networks Inc.,0.00225333
Analog Devices Inc.,0.00223846
Lockheed Martin Corporation,0.00222293
Blackstone Inc.,0.00215771
American Tower Corporation,0.00214843
KLA Corporation,0.00214423
Fiserv Inc.,0.00209396
Zoetis Inc. Class A,0.00209095
Gilead Sciences Inc.,0.00206706
Synopsys Inc.,0.00201409
Cadence Design Systems Inc.,0.00197542
Equinix Inc.,0.00193802
T-Mobile US Inc.,0.00191299
Intercontinental Exchange Inc.,0.00181849
CME Group Inc. Class A,0.00180684
Sherwin-Williams Company,0.0017805
Chipotle Mexican Grill Inc.,0.00177205
Waste Management Inc.,0.0017268
CSX Corporation,0.00171411
Colgate-Palmolive Company,0.00169738
Altria Group Inc.,0.00168451
Target Corporation,0.00168179
