Company,Index Weight
MICROSOFT CORP,0.04056577332
APPLE INC,0.03522952053
NVIDIA CORP,0.0306758009
AMAZON COM INC,0.02362011678
ALPHABET INC CLASS A,0.01439724532
META PLATFORMS INC CLASS A,0.01391398059
ALPHABET INC CLASS C,0.01273391357
BROADCOM INC,0.00845259557
ELI LILLY,0.008376280448
TAIWAN SEMICONDUCTOR MANUFACTURING,0.00834458057
JPMORGAN CHASE & CO,0.007905718835
BERKSHIRE HATHAWAY INC CLASS B,0.00737193473
TESLA INC,0.006806503366
EXXON MOBIL CORP,0.006668911496
UNITEDHEALTH GROUP INC,0.006484003449
VISA INC CLASS A,0.006180418385
NOVO NORDISK CLASS B,0.005823856085
MASTERCARD INC CLASS A,0.005454657367
PROCTER & GAMBLE,0.005376555802
ASML HOLDING NV,0.005207701142
JOHNSON & JOHNSON,0.004968158455
HOME DEPOT INC,0.0047268681
MERCK & CO INC,0.004686134534
COSTCO WHOLESALE CORP,0.004563635645
CHEVRON CORP,0.00421175804
TENCENT HOLDINGS LTD,0.004133642352
ABBVIE INC,0.003982647753
NESTLE SA,0.003800206123
BANK OF AMERICA CORP,0.00379784378
SALESFORCE INC,0.003770425003
WALMART INC,0.003763317079
SAMSUNG ELECTRONICS LTD,0.003739824279
ADVANCED MICRO DEVICES INC,0.003597076512
COCA-COLA,0.003585549245
NETFLIX INC,0.003477117153
PEPSICO INC,0.003413136591
SHELL PLC,0.003383493223
TOYOTA MOTOR CORP,0.003336581521
LVMH,0.00326752711
ASTRAZENECA PLC,0.003218183071
THERMO FISHER SCIENTIFIC INC,0.003127772509
WELLS FARGO,0.003103313212
ADOBE INC,0.003059388783
LINDE PLC,0.003036409536
WALT DISNEY,0.002907358621
NOVARTIS AG,0.002818378305
MCDONALDS CORP,0.002815584026
CISCO SYSTEMS INC,0.002751695097
ACCENTURE PLC CLASS A,0.002747918907
SAP,0.002722139839
ORACLE CORP,0.002722120674
ABBOTT LABORATORIES,0.002625598907
QUALCOMM INC,0.002611128751
INTUIT INC,0.002520711738
GE AEROSPACE,0.002491488917
CATERPILLAR INC,0.002451267825
DANAHER CORP,0.002421197347
ROCHE HOLDING PAR AG,0.002406531764
TOTALENERGIES,0.002379988545
APPLIED MATERIAL INC,0.002376354479
VERIZON COMMUNICATIONS INC,0.002348171561
