Fund Name (AS CITED),MSCI ACWI IMI TF EX‐TOB AND FF,,,,
Internal Name,MSCI ACWI IMI ex Tobacco ex Fossil Fuels Index (USD),,,,
Restricted y/n,y,,,,
Ammount of companies in fund (restricted),"8,453",,,,
Filing Date (restricted),"Mar 29, 2024",,,,
Source,https://www.msci.com/documents/10199/533e1509-9bc0-bdd4-946a-7736245c8c4e,,,,
Note:,,,,,
,,,,,
Restricted Data:,,,,,
Company,Index Weight,,,,
MICROSOFT CORP,0.0392,,,,
APPLE,0.0332,,,,
NVIDIA,0.0294,,,,
AMAZON.COM,0.0221,,,,
META PLATFORMS A,0.0142,,,,
ALPHABET A,0.0118,,,,
ALPHABET C,0.0103,,,,
LILLY (ELI) & COMPANY,0.0083,,,,
TAIWAN SEMICONDUCTOR MFG,0.0079,,,,
BROADCOM,0.0078,,,,
,,,,,
Unrestricted Data Divider,,,,,
Fund Name:,MSCI ACWI ETF,,,,
Ammount of companies in fund (restricted),"2,344",,,,
Filing Date (restricted),"Apr 26, 2024",,,,
Source,https://www.ishares.com/us/products/239600/ishares-msci-acwi-etf,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
-,,,,,
-,,,,,
-,,,,,
,,,,,
Name,Weight (%),Notional Value,,,
MICROSOFT CORP,0.04056577332,"728,890,540.56",,,
APPLE INC,0.03522952053,"633,008,128.90",,,
NVIDIA CORP,0.0306758009,"551,186,364.00",,,
AMAZON COM INC,0.02362011678,"424,409,009.92",,,
ALPHABET INC CLASS A,0.01439724532,"258,691,381.15",,,
META PLATFORMS INC CLASS A,0.01391398059,"250,008,024.07",,,
ALPHABET INC CLASS C,0.01273391357,"228,804,442.35",,,
BROADCOM INC,0.00845259557,"151,877,221.86",,,
ELI LILLY,0.008376280448,"150,505,982.86",,,
TAIWAN SEMICONDUCTOR MANUFACTURING,0.00834458057,"149,936,395.76",,,
JPMORGAN CHASE & CO,0.007905718835,"142,050,876.99",,,
BERKSHIRE HATHAWAY INC CLASS B,0.00737193473,"132,459,782.00",,,
TESLA INC,0.006806503366,"122,300,045.38",,,
