Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
MICROSOFT CORP,0.07173632
APPLE INC,0.06044699
NVIDIA CORP,0.05202691
AMAZON.COM INC,0.03970628
ALPHABET INC CL A,0.02348853
META PLATFORMS INC CLASS A,0.02283268
ALPHABET INC CL C,0.01987211
BERKSHIRE HATHAWAY INC CL B,0.01750135
BROADCOM INC,0.01413569
ELI LILLY + CO,0.01410234
JPMORGAN CHASE + CO,0.01340478
TESLA INC,0.01289818
UNITEDHEALTH GROUP INC,0.01085106
VISA INC CLASS A SHARES,0.01031457
PROCTER + GAMBLE CO/THE,0.00912543
MASTERCARD INC  A,0.00904729
JOHNSON + JOHNSON,0.00847858
HOME DEPOT INC,0.00804139
MERCK + CO. INC.,0.00790989
COSTCO WHOLESALE CORP,0.00774026
ABBVIE INC,0.00684103
SALESFORCE INC,0.0064031
ADVANCED MICRO DEVICES,0.00621268
BANK OF AMERICA CORP,0.00620177
WALMART INC,0.00618538
NETFLIX INC,0.00580846
PEPSICO INC,0.005806
COCA COLA CO/THE,0.00579087
THERMO FISHER SCIENTIFIC INC,0.00534782
LINDE PLC,0.0051873
WELLS FARGO + CO,0.00516279
ADOBE INC,0.00513011
WALT DISNEY CO/THE,0.00494306
MCDONALD S CORP,0.00476257
CISCO SYSTEMS INC,0.00466899
