Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
NVIDIA CORPORATION,0.0628243
APPLE INC,0.0544193
MICROSOFT CORP,0.0485055
AMAZON COM INC,0.0316658
ALPHABET INC,0.0248874
BROADCOM INC,0.0221150
META PLATFORMS INC,0.0201441
ALPHABET INC,0.0198472
TESLA INC,0.0168303
ELI LILLY & CO,0.0135368
BERKSHIRE HATHAWAY INC DEL,0.0125022
JPMORGAN CHASE & CO.,0.0118426
CONOCOPHILLIPS,0.0099698
VISA INC,0.0080006
JOHNSON & JOHNSON,0.0069247
ROYALTY PHARMA PLC,0.0068658
WALMART INC,0.0065308
MASTERCARD INCORPORATED,0.0063119
PROCTER AND GAMBLE CO,0.0061211
NETFLIX INC,0.0057268
PALANTIR TECHNOLOGIES INC,0.0055540
HOME DEPOT INC,0.0055288
ORACLE CORP,0.0055165
BANK AMERICA CORP,0.0054149
ABBVIE INC,0.0052172
COSTCO WHSL CORP NEW,0.0050843
BOEING CO,0.0050437
THERMO FISHER SCIENTIFIC INC,0.0049475
EXXON MOBIL CORP,0.0048477
MICRON TECHNOLOGY INC,0.0047981
DOVER CORP,0.0045980
CISCO SYS INC,0.0045556
ADVANCED MICRO DEVICES INC,0.0044883
UNITEDHEALTH GROUP INC,0.0043183
PRAXIS PRECISION MEDICINES I,0.0043059
MERCK & CO INC,0.0042818
CENTESSA PHARMACEUTICALS PLC,0.0042702
SALESFORCE INC,0.0042475
GE AEROSPACE,0.0041320
CHEVRON CORP NEW,0.0041061
INTERNATIONAL BUSINESS MACHS,0.0039624
WELLS FARGO CO NEW,0.0038044
COCA COLA CO,0.0036239
ROIVANT SCIENCES LTD,0.0035068
NORFOLK SOUTHN CORP,0.0034873
PHILIP MORRIS INTL INC,0.0034154
TERNS PHARMACEUTICALS INC,0.0033934
DISNEY WALT CO,0.0033777
LAM RESEARCH CORP,0.0033462
VIPER ENERGY INC,0.0033392
CATERPILLAR INC,0.0033325
HUBBELL INC,0.0032860
OVINTIV INC,0.0032396
AON PLC,0.0032394
ABBOTT LABS,0.0031878
RTX CORPORATION,0.0031722
WASTE MGMT INC DEL,0.0030548
BOSTON SCIENTIFIC CORP,0.0030050
FERGUSON ENTERPRISES INC,0.0029969
LINDE PLC,0.0029938
INTUITIVE SURGICAL INC,0.0029186
GOLDMAN SACHS GROUP INC,0.0028986
AVIDITY BIOSCIENCES INC,0.0028721
JOHNSON CTLS INTL PLC,0.0028187
REVOLUTION MEDICINES INC,0.0026587
SCHWAB CHARLES CORP,0.0025851
EDWARDS LIFESCIENCES CORP,0.0025219
WAVE LIFE SCIENCES LTD,0.0025178
MCDONALDS CORP,0.0025052
DANAHER CORPORATION,0.0025017
APPLIED MATLS INC,0.0024959
APPLOVIN CORP,0.0024923
VERIZON COMMUNICATIONS INC,0.0024877
MORGAN STANLEY,0.0024789
CITIGROUP INC,0.0024710
DEVON ENERGY CORP NEW,0.0024704
QUALCOMM INC,0.0024296
INTUIT,0.0024231
AT&T INC,0.0024088
SEMPRA,0.0023442
BOOKING HOLDINGS INC,0.0022977
GE VERNOVA INC,0.0022740
INTEL CORP,0.0022729
UBER TECHNOLOGIES INC,0.0022482
PEPSICO INC,0.0022435
AMPHENOL CORP NEW,0.0022347
S&P GLOBAL INC,0.0021720
ACCENTURE PLC IRELAND,0.0021717
MATADOR RES CO,0.0021620
AMERICAN EXPRESS CO,0.0021365
CSX CORP,0.0021027
EQUINIX INC,0.0020949
SERVICENOW INC,0.0020678
CVS HEALTH CORP,0.0020673
CAPITAL ONE FINL CORP,0.0020134
SOUTHWEST GAS HLDGS INC,0.0019964
PARKER-HANNIFIN CORP,0.0019577
ROSS STORES INC,0.0019427
KLA CORP,0.0019282
DOMINION ENERGY INC,0.0018993
VERTEX PHARMACEUTICALS INC,0.0018695
ADOBE INC,0.0018691
TJX COS INC NEW,0.0018657
MEDTRONIC PLC,0.0018519
TEXAS INSTRS INC,0.0018491
THE CIGNA GROUP,0.0018251
SEADRILL LTD,0.0018249
ARISTA NETWORKS INC,0.0018188
BLACKROCK INC,0.0018056
ANTERO RESOURCES CORP,0.0017931
CHORD ENERGY CORPORATION,0.0017451
LOWES COS INC,0.0017260
CHUBB LIMITED,0.0017236
WARNER BROS DISCOVERY INC,0.0017113
TRAVERE THERAPEUTICS INC,0.0016926
BLACK HILLS CORP,0.0016726
CRH PLC,0.0016623
EXACT SCIENCES CORP,0.0016405
ELECTRONIC ARTS INC,0.0016266
CUMMINS INC,0.0016197
DEXCOM INC,0.0015946
ANALOG DEVICES INC,0.0015655
GILEAD SCIENCES INC,0.0015625
NEXTERA ENERGY INC,0.0015602
VENTAS INC,0.0015529
BLACKSTONE INC,0.0015319
DYNE THERAPEUTICS INC,0.0015310
EATON CORP PLC,0.0015188
CONSTELLATION ENERGY CORP,0.0015076
JBT MAREL CORPORATION,0.0015058
CROWDSTRIKE HLDGS INC,0.0014728
UNUM GROUP,0.0014661
IDEAYA BIOSCIENCES INC,0.0014649
PROGRESSIVE CORP,0.0014647
PHILLIPS 66,0.0014428
TRAVELERS COMPANIES INC,0.0014399
TANGO THERAPEUTICS INC,0.0014224
LIBERTY BROADBAND CORP,0.0014151
JAZZ PHARMACEUTICALS PLC,0.0014099
SPIRE INC,0.0014058
GULFPORT ENERGY CORP,0.0014046
HESS MIDSTREAM LP,0.0013967
COMCAST CORP NEW,0.0013938
CENOVUS ENERGY INC,0.0013747
MCKESSON CORP,0.0013738
WELLTOWER INC,0.0013633
AMGEN INC,0.0013587
GENERAL DYNAMICS CORP,0.0013446
CBRE GROUP INC,0.0013374
EVERGY INC,0.0013251
ALTRIA GROUP INC,0.0013240
CORE NATURAL RESOURCES INC,0.0013060
EYEPOINT INC,0.0012996
MARRIOTT INTL INC NEW,0.0012880
NEWMONT CORP,0.0012789
DEERE & CO,0.0012761
HONEYWELL INTL INC,0.0012649
INTERCONTINENTAL EXCHANGE IN,0.0012617
RYAN SPECIALTY HOLDINGS INC,0.0012580
STARBUCKS CORP,0.0012522
PROLOGIS INC.,0.0012453
SILICON LABORATORIES INC,0.0012194
HOWMET AEROSPACE INC,0.0012194
ROBINHOOD MKTS INC,0.0012151
T-MOBILE US INC,0.0012130
VAXCYTE INC,0.0012046
KKR & CO INC,0.0011969
SYNOPSYS INC,0.0011953
NIKE INC,0.0011908
HOLOGIC INC,0.0011851
ACUITY INC,0.0011842
KENVUE INC,0.0011825
POOL CORP,0.0011761
DOORDASH INC,0.0011568
AMERICAN TOWER CORP NEW,0.0011229
ABIVAX SA,0.0011225
LOCKHEED MARTIN CORP,0.0011199
ALLEGRO MICROSYSTEMS INC,0.0011195
BANK NEW YORK MELLON CORP,0.0011060
MONDELEZ INTL INC,0.0011032
PUBLIC SVC ENTERPRISE GRP IN,0.0011032
ELEVANCE HEALTH INC FORMERLY,0.0010854
PACCAR INC,0.0010759
MONOLITHIC PWR SYS INC,0.0010679
CME GROUP INC,0.0010653
