Fund Name (AS CITED),HIMALAYA CAPITAL MANAGEMENT LLC
Internal Name,HIMALAYA CAPITAL MANAGEMENT LLC
Restricted y/n,n
Ammount of companies in fund (restricted),24
Filing Date (restricted),2026-01-29
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
 WHEELER REAL ESTATE INVT TR ,0.3902568
 KINGSWAY FINL SVCS INC ,0.2493933
 SOUND FINL BANCORP INC ,0.0986204
 LAKE SHORE BANCORP INC ,0.0625274
 IF BANCORP INC ,0.0408992
 CENTRAL PLAINS BANCSHARES IN ,0.0342237
 CATALYST BANCORP INC ,0.0221147
 WHEELER REAL ESTATE INVT TR ,0.0217869
 FS BANCORP INC ,0.0170169
 NORTHEAST CMNTY BANCORP INC ,0.0137111
 BV FINL INC ,0.0095003
 HOME FED BANCORP INC LA NEW ,0.0079385
 NB BANCORP INC ,0.0071022
 FIFTH DIST BANCORP INC ,0.0066154
 MAGYAR BANCORP INC ,0.0038105
 AVIDIA BANCORP INC ,0.0037069
 SR BANCORP INC ,0.0034709
 ECB BANCORP INC ,0.0019174
 PONCE FINANCIAL GROUP INC ,0.0018027
 FB BANCORP INC ,0.0014168
 MARATHON BANCORP INC ,0.0013407
 WHEELER REAL ESTATE INVT TR ,0.0005351
 PRINCIPAL FINANCIAL GROUP IN ,0.0002660
 METLIFE INC ,0.0000261
