name,ticker,weight
VISA INC CLASS A SHARES,V,0.924977
COSTCO WHOLESALE CORP,COST,0.824394
NETFLIX INC,NFLX,0.762054
MICRON TECHNOLOGY INC,MU,0.753413
MASTERCARD INC   A,MA,0.735572
ABBVIE INC,ABBV,0.675303
ADVANCED MICRO DEVICES,AMD,0.64875
PALANTIR TECHNOLOGIES INC A,PLTR,0.620154
CATERPILLAR INC,CAT,0.61061
PROCTER + GAMBLE CO/THE,PG,0.608322
BANK OF AMERICA CORP,BAC,0.599532
HOME DEPOT INC,HD,0.585957
CISCO SYSTEMS INC,CSCO,0.570515
MERCK + CO. INC.,MRK,0.549364
COCA COLA CO/THE,KO,0.543967
GENERAL ELECTRIC,GE,0.53962
APPLIED MATERIALS INC,AMAT,0.50548
LAM RESEARCH CORP,LRCX,0.498723
RTX CORP,RTX,0.481969
GOLDMAN SACHS GROUP INC,GS,0.474025
UNITEDHEALTH GROUP INC,UNH,0.459922
WELLS FARGO + CO,WFC,0.456167
ORACLE CORP,ORCL,0.450865
PHILIP MORRIS INTERNATIONAL,PM,0.450671
GE VERNOVA INC,GEV,0.44339
INTEL CORP,INTC,0.432806
LINDE PLC,LIN,0.429788
INTL BUSINESS MACHINES CORP,IBM,0.424796
MCDONALD S CORP,MCD,0.400546
PEPSICO INC,PEP,0.393124
VERIZON COMMUNICATIONS INC,VZ,0.381187
CITIGROUP INC,C,0.368378
KLA CORP,KLAC,0.364978
MORGAN STANLEY,MS,0.364671
AT+T INC,T,0.36288
NEXTERA ENERGY INC,NEE,0.354918
AMGEN INC,AMGN,0.343331
THERMO FISHER SCIENTIFIC INC,TMO,0.338121
ABBOTT LABORATORIES,ABT,0.327556
TJX COMPANIES INC,TJX,0.327349
TEXAS INSTRUMENTS INC,TXN,0.323418
SALESFORCE INC,CRM,0.320761
GILEAD SCIENCES INC,GILD,0.316943
WALT DISNEY CO/THE,DIS,0.312995
BOEING CO/THE,BA,0.299161
PFIZER INC,PFE,0.294631
AMERICAN EXPRESS CO,AXP,0.294346
INTUITIVE SURGICAL INC,ISRG,0.293435
AMPHENOL CORP CL A,APH,0.286912
SCHWAB (CHARLES) CORP,SCHW,0.28681
ANALOG DEVICES INC,ADI,0.284147
UBER TECHNOLOGIES INC,UBER,0.27035
HONEYWELL INTERNATIONAL INC,HON,0.266364
UNION PACIFIC CORP,UNP,0.266356
DEERE + CO,DE,0.265
EATON CORP PLC,ETN,0.256805
BLACKROCK INC,BLK,0.255427
WELLTOWER INC,WELL,0.254258
QUALCOMM INC,QCOM,0.247634
BOOKING HOLDINGS INC,BKNG,0.247596
S+P GLOBAL INC,SPGI,0.24109
ARISTA NETWORKS INC,ANET,0.239546
PALO ALTO NETWORKS INC,PANW,0.237522
LOWE S COS INC,LOW,0.236996
