Name,Investment_Type,Amount
MSCI ACWI IMI EX-TOB AND FF,PUBLIC EQUITY,8512270557
ARROWSTREET GLOBAL 130-30,PUBLIC EQUITY,696015813
ADAGE CAPITAL,PUBLIC EQUITY,542253726
FIDELITY GROWTH CO,PUBLIC EQUITY,333248030
IIFL HIGH GROWTH,PUBLIC EQUITY,206105510
INCENTIVE ACTIVE VALUE,PUBLIC EQUITY,111134040
UCAL EBQP GEP WF ASIAN RECONN,PUBLIC EQUITY,39345721
BROOKFIELD REIT,FIXED INCOME,205809680
CORE GOVERNMENT,FIXED INCOME,201272065
BLACKROCK SIO 2024,FIXED INCOME,165938291
1-5 YEAR CREDIT,FIXED INCOME,112700326
BLACKSTONE RESOLUTION LIFE,FIXED INCOME,63689006
APOLLO SVF2,FIXED INCOME,63075672
MORAINE FUND,ABSOLUTE RETURN,254234761
EXUMA CAPITAL,ABSOLUTE RETURN,30825223
WANAKA FUND,ABSOLUTE RETURN,25289874
FALCON CI II,ABSOLUTE RETURN,8357947
BIWA FUND LIMITED,ABSOLUTE RETURN,4961475
PEYTO,ABSOLUTE RETURN,3447938
BFAM ASIA OPPORTUNITY FUND,ABSOLUTE RETURN,2902211
ZEI ES CO INVEST,ABSOLUTE RETURN,2653805
OWL ROCK TECH FINANCE,PRIVATE CREDIT,287425684
ACM ALAMOSA I A,PRIVATE CREDIT,142018145
HAZELTON FUND LIMITED,PRIVATE CREDIT,130477788
HOMEWARD OPPORTUNITIES FUND,PRIVATE CREDIT,109435487
BROOKFIELD,PRIVATE CREDIT,80360000
H.I.G. BAYSIDE V,PRIVATE CREDIT,65645490
BLUE OWL,PRIVATE CREDIT,23019635
LAFAYETTE SQUARE,PRIVATE CREDIT,15200902
OWL ROCK TECH HOLDINGS II,PRIVATE CREDIT,9055261
AMERRA CAPITAL,PRIVATE CREDIT,5018199
RED KITE FUND I,PRIVATE CREDIT,3025528
HOMEWARD OPPORTUNITIES FUND I 6,PRIVATE CREDIT,19790
HOF MANAGEMENT CO,PRIVATE CREDIT,567066
BAIN CAPITAL CREDIT MANAGED ACCOUNT 5,PRIVATE CREDIT,29047
R3000 PE PASSIVE,PRIVATE EQUITY,503022928
SEQUOIA CAPITAL (LEGACY FUNDS),PRIVATE EQUITY,217067765
1868 UNIVERITAS FUND,PRIVATE EQUITY,198397483
SEQUOIA CAPITAL GLOBAL GROWTH III,PRIVATE EQUITY,194156784
SG GROWTH PARTNERS IV,PRIVATE EQUITY,139214541
THOMA BRAVO XIV,PRIVATE EQUITY,138563405
SEQUOIA CAPITAL FUND,PRIVATE EQUITY,125728030
SEQUOIA CAPITAL CHINA GROWTH VI 1,PRIVATE EQUITY,22885808
THOMA BRAVO CO-INVESTMENT,PRIVATE EQUITY,121310227
THOMA BRAVO FUND XIII,PRIVATE EQUITY,119008780
THOMA BRAVO CO-INVESTMENT,PRIVATE EQUITY,113588563
BERKSHIRE FUND IX,PRIVATE EQUITY,112591240
SYCAMORE PARTNERS III,PRIVATE EQUITY,107451052
MADISON DEARBORN CAPITAL PARTNERS CO-INVESTMENT 9,PRIVATE EQUITY,5211847
BPEA VIII,PRIVATE EQUITY,94899162
BPEA VII,PRIVATE EQUITY,85305635
THOMA BRAVO DISCOVER II,PRIVATE EQUITY,85204654
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,80548888
ROUNDTABLE HEALTHCARE PARTNERS CO-INVESTMENT,PRIVATE EQUITY,80369425
APOLLO MANAGEMENT CO-INVESTMENT 7,PRIVATE EQUITY,5000000
BLACKSTONE GROUP CO-INVESTMENT 7,PRIVATE EQUITY,4751359
BLACKSTONE CAPITAL PARTNERS VIII,PRIVATE EQUITY,74647215
TORL BIOTHERAPEUTICS,PRIVATE EQUITY,71875000
FURTHER GLOBAL CAPITAL I,PRIVATE EQUITY,71072004
THOMA BRAVO XV,PRIVATE EQUITY,68736224
H.I.G. EUROPE CAPITAL PARTNERS III,PRIVATE EQUITY,59022692
BLACKSTONE CAPITAL PARTNERS ASIA II,PRIVATE EQUITY,58719038
COLUMN GROUP IV,PRIVATE EQUITY,58318855
THOMA BRAVO DISCOVER III,PRIVATE EQUITY,57209877
SG GROWTH PARTNERS III,PRIVATE EQUITY,56589164
FURTHER GLOBAL CAPITAL II,PRIVATE EQUITY,56202493
BOW VENTURES FUND I,PRIVATE EQUITY,55487634
THE ENGINE FUND I,PRIVATE EQUITY,52006250
TSG CONSUMER PARTNERS CO-INVESTMENT 5,PRIVATE EQUITY,1452918
H.I.G. CAPITAL PARTNERS VI,PRIVATE EQUITY,50160108
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,50033879
BLACKSTONE GROUP CO-INVESTMENT 4,PRIVATE EQUITY,9994489
BLACKSTONE CAPITAL PARTNERS ASIA I,PRIVATE EQUITY,49368592
DCP I,PRIVATE EQUITY,49060813
THOMA BRAVO CO-INVESTMENT 4,PRIVATE EQUITY,9006959
CLEARLAKE CAPITAL PARTNERS VII,PRIVATE EQUITY,48031815
BLACKSTONE STRATEGIC PARTNERS VIII 4,PRIVATE EQUITY,7075793
BREGAL SAGEMOUNT EQUITY III,PRIVATE EQUITY,45020460
SEQUOIA CAPITAL GGF III CHINA ANNEX,PRIVATE EQUITY,43177899
SEQUOIA CAPITAL US GROWTH IX,PRIVATE EQUITY,41450555
ARSENAL CAPITAL PARTNERS V LP,PRIVATE EQUITY,40190467
SEQUOIA CAPITAL GGF III US INDIA ANNEX 3,PRIVATE EQUITY,8954613
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,38140904
COLUMN GROUP III,PRIVATE EQUITY,37708183
SEQUOIA CAPITAL US VENTURE XVII,PRIVATE EQUITY,37006342
RNT ASSOCIATES,PRIVATE EQUITY,36475914
ZMC III,PRIVATE EQUITY,36373913
SEQUOIA CAPITAL INDIA GROWTH III,PRIVATE EQUITY,35344397
SEQUOIA CAPITAL CHINA GROWTH V,PRIVATE EQUITY,35302717
EQT PARTNERS CO-INVESTMENT,PRIVATE EQUITY,35115177
COLUMN GROUP CO-INVESTMENT 3,PRIVATE EQUITY,4891388
THOMA BRAVO GROWTH I,PRIVATE EQUITY,34051621
NEOTRIBE VENTURES I,PRIVATE EQUITY,33918829
TSG 9,PRIVATE EQUITY,33465664
THE RISE FUND,PRIVATE EQUITY,31410228
H.I.G. MIDDLE MARKET LBO FUND III 3,PRIVATE EQUITY,1281791
TPG GROWTH IV,PRIVATE EQUITY,30945208
ARSENAL CAPITAL PARTNERS VI,PRIVATE EQUITY,30546850
ICONIQ STRATEGIC PARTNERS VII,PRIVATE EQUITY,30293806
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT 2,PRIVATE EQUITY,9961299
SYCAMORE PARTNERS II,PRIVATE EQUITY,29690689
THOMA BRAVO CO-INVESTMENT 2,PRIVATE EQUITY,9494407
EQT X,PRIVATE EQUITY,29207388
BLACKSTONE GROUP CO-INVESTMENT 2,PRIVATE EQUITY,8600515
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT 2,PRIVATE EQUITY,6634140
ARSENAL CAPITAL PARTNERS CO-INVESTMENT 2,PRIVATE EQUITY,6461967
COLUMN GROUP II,PRIVATE EQUITY,26336084
LAV VI,PRIVATE EQUITY,25324823
APOLLO FUND X,PRIVATE EQUITY,24657025
SYCAMORE PARTNERS,PRIVATE EQUITY,24556030
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,24000000
BOW VENTURES FUND I,PRIVATE EQUITY,23065255
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,22222222
TSG8 L.P.,PRIVATE EQUITY,21375826
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,20437830
THOMA BRAVO DISCOVER IV,PRIVATE EQUITY,20340457
BREGAL SAGEMOUNT IV,PRIVATE EQUITY,20033211
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,19999998
"NEOTRIBE VENTURES II, L.P.",PRIVATE EQUITY,19779058
SEQUOIA CAPITAL INDIA VI,PRIVATE EQUITY,17640356
JLL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,15497393
RNT CAPITAL CO-INVESTMENT,PRIVATE EQUITY,15290974
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT 1,PRIVATE EQUITY,5282770
BOW VENTURES FUND II,PRIVATE EQUITY,15280828
LONETREE CAPITAL CO-INVESTMENT,PRIVATE EQUITY,15000000
BLACKSTONE GROUP CO-INVESTMENT 1,PRIVATE EQUITY,4850938
THOMA BRAVO CO-INVESTMENT 1,PRIVATE EQUITY,4269908
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,13584723
ARSENAL CAPITAL PARTNERS IV,PRIVATE EQUITY,13483860
SEQUOIA CAPITAL INDIA VENTURE VII,PRIVATE EQUITY,13409389
ARSENAL CAPITAL PARTNERS CO-INVESTMENT 1,PRIVATE EQUITY,2946143
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT 1,PRIVATE EQUITY,2814085
CLEARLAKE CO-INVESTMENT 1,PRIVATE EQUITY,2473402
ICONIQ CAPITAL CO-INVESTMENT,PRIVATE EQUITY,12361477
SEQUOIA CAPITAL US GROWTH VIII,PRIVATE EQUITY,12230568
"ICON PARTNERS IV, L.P.",PRIVATE EQUITY,12079300
THE ENGINE FUND II,PRIVATE EQUITY,11047299
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,11032000
LAV OPPORTUNITIES FUND,PRIVATE EQUITY,10750894
THE HOUSE FUND III,PRIVATE EQUITY,10009785
ICONIQ CAPITAL CO-INVESTMENT,PRIVATE EQUITY,10008003
MSA ENTERPRISES,PRIVATE EQUITY,9013255
SG GROWTH PARTNERS II,PRIVATE EQUITY,8758315
L'ATTITUDE VENTURES II,PRIVATE EQUITY,8673873
BREGAL SAGEMOUNT II,PRIVATE EQUITY,8275082
COLLIDE CAPITAL I,PRIVATE EQUITY,8027995
THE HOUSE FUND II,PRIVATE EQUITY,6285859
MISSION BAY CAPITAL II,PRIVATE EQUITY,5320391
VIDA VENTURES II,PRIVATE EQUITY,5125900
SOMA CAPITAL III,PRIVATE EQUITY,3684157
SEQUOIA CAPITAL US/E SEED IV,PRIVATE EQUITY,3558022
BOW CAPITAL CO-INVESTMENT,PRIVATE EQUITY,3329223
THE HOUSE FUND,PRIVATE EQUITY,2330403
COLLIDE CAPITAL II,PRIVATE EQUITY,1396606
