Name,Investment_Type,Total_investment,UCRP_Amount,GEP_Amount
MSCI ACWI IMI TF EX-TOB AND FF,PUBLIC EQUITY,58248850263,58248850263,0
MSCI ACWI IMI EX-TOB AND FF,PUBLIC EQUITY,8512270557,0,8512270557
BREIT,REAL ESTATE,5279453703,3523218069,1756235634
SSGA S&P 500 EX-TOB UCRP,PUBLIC EQUITY,5031801465,5031801465,0
CORE GOVERNMENT,FIXED INCOME,4820067669,4618795604,201272065
R3000 PE PASSIVE,PRIVATE EQUITY,3824672852,3321649924,503022928
ARROWSTREET GLOBAL 130-30,PUBLIC EQUITY,3043516814,2347501001,696015813
CORE CREDIT,FIXED INCOME,2020354727,2020354727,0
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,1967428075,1425392173,542035902
NOMURA HIGH YIELD TOTAL RETURN,FIXED INCOME,1840276597,1840276597,0
ADAGE CAPITAL,PUBLIC EQUITY,1712982176,1170728450,542253726
BLACKROCK SIO,FIXED INCOME,1596282696,1596282696,0
FIDELITY GROWTH,PUBLIC EQUITY,1502108103,1502108103,0
THOMA BRAVO CO-INVESTMENT,PRIVATE EQUITY,1104877919,869979129,234898790
EATON VANCE HIGH YIELD,FIXED INCOME,978509948,978509948,0
OWL ROCK TECH FINANCE,PRIVATE CREDIT,738046064,450620380,287425684
1868 UNIVERITAS FUND,PRIVATE EQUITY,661324943,462927460,198397483
MORAINE FUND,ABSOLUTE RETURN,657578527,403343766,254234761
HAZELTON FUND LIMITED,PRIVATE CREDIT,645066709,514588921,130477788
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,633871000,606922000,26949000
GOLDMAN SACHS RENEWABLE ENERGY,REAL ASSETS,505870573,429989987,75880586
SEQUOIA CAPITAL GLOBAL GROWTH III,PRIVATE EQUITY,487228248,293071464,194156784
HOMEWARD OPPORTUNITIES FUND,PRIVATE CREDIT,447051796,337616309,109435487
IIFL HIGH GROWTH UCRP,PUBLIC EQUITY,411639627,411639627,0
THOMA BRAVO FUND XIII,PRIVATE EQUITY,386444071,267435291,119008780
THOMA BRAVO XIV,PRIVATE EQUITY,346408512,207845107,138563405
APOLLO MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,345103500,304642460,40461040
THOMA BRAVO XV,PRIVATE EQUITY,343681120,274944896,68736224
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,336050503,150183670,185866833
FIDELITY GROWTH CO,PUBLIC EQUITY,333248030,0,333248030
APOLLO SVF2,FIXED INCOME,317198263,254122591,63075672
BPEA VIII,PRIVATE EQUITY,316330539,221431377,94899162
SEQUOIA CAPITAL FUND,PRIVATE EQUITY,315506188,189778158,125728030
BLACKSTONE STRATEGIC PARTNERS IX,PRIVATE EQUITY,299145402,299145402,0
"BLACKSTONE PROPERTY PARTNERS US, LP",REAL ESTATE,294445626,294445626,0
ACM ALAMOSA I,PRIVATE CREDIT,280088438,280088438,0
ALBACORE PARTNERS I,PRIVATE CREDIT,279604611,279604611,0
SYCAMORE PARTNERS III,PRIVATE EQUITY,272084942,164633890,107451052
UCRP DIRECT PUBLIC EQUITY,PUBLIC EQUITY,270273718,270273718,0
KOTAK INDIA GROWTH,PUBLIC EQUITY,267154902,267154902,0
EQT INFRASTRUCTURE V (NO.2) USD SCSP,REAL ASSETS,263267322,223777224,39490098
EQT IX,PRIVATE EQUITY,256906912,256906912,0
BLACKSTONE CAPITAL PARTNERS ASIA I,PRIVATE EQUITY,251078878,201710286,49368592
BLACKSTONE CAPITAL PARTNERS VIII,PRIVATE EQUITY,248824050,174176835,74647215
BLACKSTONE STRATEGIC CAPITAL,PRIVATE EQUITY,245443257,245443257,0
