Name,Investment_Type,Amount
MSCI ACWI IMI TF EX-TOB AND FF,PUBLIC EQUITY,58248850263
SSGA S&P 500 EX-TOB UCRP,PUBLIC EQUITY,5031801465
ARROWSTREET GLOBAL 130-30,PUBLIC EQUITY,2347501001
FIDELITY GROWTH,PUBLIC EQUITY,1502108103
ADAGE CAPITAL,PUBLIC EQUITY,1170728450
IIFL HIGH GROWTH UCRP,PUBLIC EQUITY,411639627
UCRP DIRECT PUBLIC EQUITY,PUBLIC EQUITY,270273718
KOTAK INDIA GROWTH,PUBLIC EQUITY,267154902
IMPACTIVE CAPITAL UCRP,PUBLIC EQUITY,178844975
EARNEST PARTNERS SMALL CAP VALUE,PUBLIC EQUITY,144078892
ARIEL US SMALL CAP,PUBLIC EQUITY,139773056
NASDAQ ETF UCRP,PUBLIC EQUITY,28413087
WARD FERRY RECON,PUBLIC EQUITY,24540130
GAOLING FUND (EQ),PUBLIC EQUITY,24319951
INCENTIVE ACTIVE VALUE,PUBLIC EQUITY,15952783
TARPON INVESTMENTS,PUBLIC EQUITY,7662582
HEALTHCARE INVESTMENT FUND II,PUBLIC EQUITY,6809540
CORE GOVERNMENT,FIXED INCOME,4618795604
CORE CREDIT,FIXED INCOME,2020354727
NOMURA HIGH YIELD TOTAL RETURN,FIXED INCOME,1840276597
BLACKROCK SIO,FIXED INCOME,1596282696
EATON VANCE HIGH YIELD,FIXED INCOME,978509948
APOLLO SVF2,FIXED INCOME,254122591
RANGELEY LAKE PARTNERS,FIXED INCOME,191067017
BLACKSTONE RESOLUTION LIFE,FIXED INCOME,161755150
MORAINE FUND,ABSOLUTE RETURN,403343766
EXUMA CAPITAL,ABSOLUTE RETURN,61585051
WANAKA FUND,ABSOLUTE RETURN,53490373
FALCON CI II,ABSOLUTE RETURN,13259589
BIWA FUND LIMITED,ABSOLUTE RETURN,9872730
BFAM ASIA OPPORTUNITY FUND,ABSOLUTE RETURN,5890662
