iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,337,909,616.27","4.71","1,337,909,616.27","7,542,193.00","177.39","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,166,913,561.52","4.11","1,166,913,561.52","4,559,681.00","255.92","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","817,714,571.44","2.88","817,714,571.44","2,189,564.00","373.46","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","626,258,475.81","2.21","626,258,475.81","2,985,453.00","209.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","534,349,912.80","1.88","534,349,912.80","1,806,640.00","295.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","444,452,918.18","1.57","444,452,918.18","1,509,383.00","294.46","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","439,788,082.50","1.55","439,788,082.50","1,398,150.00","314.55","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","432,118,901.01","1.52","432,118,901.01","7,638,000.00","56.57","Taiwan","Taiwan Stock Exchange","USD","31.99","TWD","Nov 10, 1994"
"META","META PLATFORMS INC CLASS A","Communication","Equity","388,212,600.02","1.37","388,212,600.02","675,787.00","574.46","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","315,934,534.40","1.11","315,934,534.40","876,160.00","360.59","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","248,290,353.00","0.87","248,290,353.00","842,805.00","294.60","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","233,300,906.70","0.82","233,300,906.70","249,365.00","935.58","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","210,122,100.56","0.74","210,122,100.56","1,307,624.00","160.69","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","203,693,837.30","0.72","203,693,837.30","426,718.00","477.35","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","181,738,263.84","0.64","181,738,263.84","747,771.00","243.04","United States","NYSE","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","172,651,033.88","0.61","172,651,033.88","1,470,921.00","117.38","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"WMT","WALMART INC","Consumer Staples","Equity","171,005,467.08","0.60","171,005,467.08","1,359,452.00","125.79","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","161,534,696.14","0.57","161,534,696.14","120,452.00","1,341.06","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"V","VISA INC CLASS A","Financials","Equity","157,449,849.60","0.55","157,449,849.60","523,437.00","300.80","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","139,637,181.84","0.49","139,637,181.84","137,579.00","1,014.96","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","129,917,263.88","0.46","129,917,263.88","1,316,818.00","98.66","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","129,567,968.64","0.46","129,567,968.64","262,581.00","493.44","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","128,090,608.80","0.45","128,090,608.80","349,745.00","366.24","United States","NASDAQ","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","124,357,488.18","0.44","124,357,488.18","1,992,300.00","62.42","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
